row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Ngàn VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Ngàn VNDNăm trước
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay Mua hàng hóa Bán hàng hóa Cấn trừ công nợ khác Lãi vay Trả gốc vay Cung cấp dịch vụ Chuyển nhượng công ty con Cấn trừ nợ gốc vay Thu tiền chuyển nhượng công ty con Trả lãi vay Cho vay,2.690.589.599 629.722.562 197.645.440 150.859.213 137.985.954 72.629.070 28.914,2.651.644.988 385.235.060 137.803.705 162.385.173 70.650.353 2.965.460.727 8.893.283 4.149.882.400 3.813.572.265 2.651.644.988 200.038.384 23.758.977,,,,
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Cho vay Bán hàng hóa và cung cấp dịch vụ Lãi cho vay Chi hộ Mua hàng hóa Cấn trừ nợ gốc vay Cấn trừ công nợ,716.510.507 663.943.635 258.472.295 170.427.298 109.449.409 44.264.328 -,- 511.286.306 353.119.649 123.914.585 479.486.407 - 29.973.589,,,,
HAG,HAG,HAG,Cổ đông lớn,Trả gốc vay Cấn trừ nợ gốc vay Cấn trừ công nợ Bán hàng hóa,600.000.000 3.578.369 -,- 48.215.005 16.221.028 213.633,,,,
HA Andong Meas,HAG > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Cấn trừ công nợ,148.130.637,-,,,148130637.0,
HAQM Lào,HAQM Lào,HAQM Lào,Công ty con,Mua hàng hóa Lãi cho vay Chi hộ Bán hàng hóa,78.217.751 33.348.178 4.445.934 -,71.038.304 56.176.867 2.057.668 13.779.191,,,,
Heng Brothers,HAQM Lào > Heng Brothers,Heng Brothers,Công ty con,Cấn trừ công nợ,3.426.577,5.080.911,,,3426577.0,5080911.0
Cơ khí Chu Lai,HAQM Lào > Cơ khí Chu Lai,Cơ khí Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,2.341.702,3.690.061,,,2341702.0,3690061.0
Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Cấn trừ công nợ Mua dịch vụ,3.578.369 269.386,-,,,,
