row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,,
HA Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Attapeu,HA Attapeu,Công ty con,Bán hàng hóa,1.227.928.346,876.771.175,,,1227928346.0,876771175.0
HA Oyadav,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Oyadav,HA Oyadav,Công ty con,Bán hàng hóa,114.977.231,93.376.292,,,114977231.0,93376292.0
HAQM Lào,Phải thu ngắn hạn của khách hàng (TM số 5) > HAQM Lào,HAQM Lào,Công ty con,Bán hàng hóa,44.762.105,43.352.107,,,44762105.0,43352107.0
CRD,Phải thu ngắn hạn của khách hàng (TM số 5) > CRD,CRD,Công ty con,Bán hàng hóa,13.589.598,12.466.856,,,13589598.0,12466856.0
THAGRICO,Phải thu ngắn hạn của khách hàng (TM số 5) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Thanh lý công ty con,-,38.063.941,,,,38063941.0
Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,3.578.369,,,,3578369.0
Bên liên quan khác,Phải thu ngắn hạn của khách hàng (TM số 5) > Bên liên quan khác,Bên liên quan khác,Bên liên quan,Bán hàng hóa,69.660,1.544.388,,,69660.0,1544388.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 5) > TỔNG CỘNG,TỔNG CỘNG,,,1.401.326.940,1.069.153.128,,,1401326940.0,1069153128.0
Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),,,,
HA Attapeu,Trả trước cho người bán ngắn hạn (TM số 6) > HA Attapeu,HA Attapeu,Công ty con,Mua hàng hóa và dịch vụ,769.826.123,675.141.853,,,769826123.0,675141853.0
HAQM Lào,Trả trước cho người bán ngắn hạn (TM số 6) > HAQM Lào,HAQM Lào,Công ty con,Mua hàng hóa,660.568.437,617.052.265,,,660568437.0,617052265.0
XNK HAGL,Trả trước cho người bán ngắn hạn (TM số 6) > XNK HAGL,XNK HAGL,Công ty con,Mua hàng hóa,173.688.397,173.841.673,,,173688397.0,173841673.0
HA Lumphat,Trả trước cho người bán ngắn hạn (TM số 6) > HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,40.310,399.008,,,40310.0,399008.0
THAGRICO,Trả trước cho người bán ngắn hạn (TM số 6) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,39.013.212,,,,39013212.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (TM số 6) > TỔNG CỘNG,TỔNG CỘNG,,,1.604.123.267,1.505.448.011,,,1604123267.0,1505448011.0
