row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,237.349.753,264.079.854,237349753.0,264079854.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,208.473.554,85.110.944,208473554.0,85110944.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,26.573.427,152.450.400,26573427.0,152450400.0
Khác,Khác,Khác,2.302.772,26.518.510,2302772.0,26518510.0
Dài hạn,Dài hạn,Dài hạn,107.440.727,175.531.171,107440727.0,175531171.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,107.440.727,175.531.171,107440727.0,175531171.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,344.790.480,439.611.025,344790480.0,439611025.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,189.124.029,420.847.587,189124029.0,420847587.0
Phải trả ngắn hạn bên liên quan (TM số 27),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 27),Phải trả ngắn hạn bên liên quan (TM số 27),98.571.561,15.484.556,98571561.0,15484556.0
Phải trả dài hạn bên liên quan (TM số 27),Trong đó: > Phải trả dài hạn bên liên quan (TM số 27),Phải trả dài hạn bên liên quan (TM số 27),57.094.890,3.278.882,57094890.0,3278882.0
