row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Lợi nhuận (lỗ) kế toán trước thuế,Lợi nhuận (lỗ) kế toán trước thuế,Lợi nhuận (lỗ) kế toán trước thuế,222.921.925,(255.814.631),222921925.0,-255814631.0
Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,,
Chi phí không được khấu trừ,Các điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,66.801.581,240.631.481,66801581.0,240631481.0
Cổ tức,Các điều chỉnh: > Cổ tức,Cổ tức,(26.144.558),(20.915.646),-26144558.0,-20915646.0
Chênh lệch tỷ giá hối đoái,Các điều chỉnh: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(91.575.508),44.200.812,-91575508.0,44200812.0
Hoàn nhập dự phòng,Các điều chỉnh: > Hoàn nhập dự phòng,Hoàn nhập dự phòng,(125.876.974),-,-125876974.0,
Thu nhập chịu thuế ước tính trong năm,Các điều chỉnh: > Thu nhập chịu thuế ước tính trong năm,Thu nhập chịu thuế ước tính trong năm,46.126.466,8.102.016,46126466.0,8102016.0
Lỗ chuyển sang từ năm trước,Các điều chỉnh: > Lỗ chuyển sang từ năm trước,Lỗ chuyển sang từ năm trước,(46.126.466),(8.102.016),-46126466.0,-8102016.0
Chi phí thuế TNDN hiện hành ước tính trong năm,Chi phí thuế TNDN hiện hành ước tính trong năm,Chi phí thuế TNDN hiện hành ước tính trong năm,-,-,,
Thuế TNDN trả trước đầu năm,Chi phí thuế TNDN hiện hành ước tính trong năm > Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,(285.831),(285.831),-285831.0,-285831.0
Thuế TNDN trả trước cuối năm,Chi phí thuế TNDN hiện hành ước tính trong năm > Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,(285.831),(285.831),-285831.0,-285831.0
