row_label_raw,row_label_full,Bên cho vay > THAGRICO > HAG,Số cuối năm Ngàn VND > 2.804.396.470 > 1.384.883.897,Thời hạn thanh toán > Từ ngày 16 tháng 5 năm 2023 đến ngày 30 tháng 12 năm 2024 > Từ ngày 30 tháng 4 năm 2023 đến ngày 30 tháng 9 năm 2024,"Lãi suất %/năm > 7,50 - 14,50 > 0,00",numeric__Số cuối năm Ngàn VND > 2.804.396.470 > 1.384.883.897,numeric__Thời hạn thanh toán > Từ ngày 16 tháng 5 năm 2023 đến ngày 30 tháng 12 năm 2024 > Từ ngày 30 tháng 4 năm 2023 đến ngày 30 tháng 9 năm 2024,"numeric__Lãi suất %/năm > 7,50 - 14,50 > 0,00"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.189.280.367,,,4189280367.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.471.227.867,,,1471227867.0,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.718.052.500,,,2718052500.0,,
