row_label_raw,row_label_full,Chi phí lãi tiền gửi,(3),(3)_1,numeric__(3),numeric__(3)_1
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,-,2,,2.0
Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,(1.414),-,-1414.0,
