row_label_raw,row_label_full,Chi phí lãi tiền gửi,(34),(14),numeric__(34),numeric__(14)
Thu nhập từ lãi tiền vay,Thu nhập từ lãi tiền vay,Thu nhập từ lãi tiền vay,-,8,,8.0
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,100,20,100.0,20.0
Gửi tiền có kỳ hạn tại MSB,Gửi tiền có kỳ hạn tại MSB,Gửi tiền có kỳ hạn tại MSB,-,760,,760.0
