row_label_raw,row_label_full,Chi phí lãi tiền gửi,(73.190),(73.698),numeric__(73.190),numeric__(73.698)
Gửi tiền có kỳ hạn tại MSB,Gửi tiền có kỳ hạn tại MSB,Gửi tiền có kỳ hạn tại MSB,4.230.000,-,4230000.0,
Rút tiền gửi có kỳ hạn tại MSB,Rút tiền gửi có kỳ hạn tại MSB,Rút tiền gửi có kỳ hạn tại MSB,-,1.555.000,,1555000.0
