row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.458.540,-,-,-,-,1.458.540,1.458.540,1458540.0,,,,,1458540.0,1458540.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,9.819.956,-,-,9.819.956,(*),,,9819956.0,,,9819956.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,73.968.963,-,-,73.968.963,(*),,,73968963.0,,,73968963.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,205.208.835,-,-,205.208.835,(*),,,205208835.0,,,205208835.0,
Chứng khoán đầu tư sẵn sàng để bản,Chứng khoán đầu tư sẵn sàng để bản,Chứng khoán đầu tư sẵn sàng để bản,-,-,-,97.307.982,-,97.307.982,(*),,,,97307982.0,,97307982.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,1.236,-,1.236,(*),,,,1236.0,,1236.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,20.894.304,-,-,20.894.304,(*),,,20894304.0,,,20894304.0,
,,,1.458.540,-,309.892.058,97.309.218,-,408.659.816,,1458540.0,,309892058.0,97309218.0,,408659816.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,23.066.596,23.066.596,(*),,,,,23066596.0,23066596.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,108.610.209,108.610.209,(*),,,,,108610209.0,108610209.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,196.671.626,196.671.626,(*),,,,,196671626.0,196671626.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,433.514,-,-,-,-,433.514,433.514,433514.0,,,,,433514.0,433514.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,29.634.109,29.634.109,(*),,,,,29634109.0,29634109.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,5.500.408,5.500.408,(*),,,,,5500408.0,5500408.0,
,,,433.514,-,-,-,363.482.948,363.916.462,,433514.0,,,,363482948.0,363916462.0,
