row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2025triệu đồng,Ngày 31 tháng 12năm 2024triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2025triệu đồng,numeric__Ngày 31 tháng 12năm 2024triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,17,23.066.596,9.203.519,17.0,23066596.0,9203519.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,23.066.596,9.203.519,,23066596.0,9203519.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,18,108.610.209,92.189.465,18.0,108610209.0,92189465.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,79.154.266,59.769.136,,79154266.0,59769136.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,29.455.943,32.420.329,,29455943.0,32420329.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,196.671.626,154.612.451,19.0,196671626.0,154612451.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,433.514,730.128,8.0,433514.0,730128.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20,29.634.109,21.210.596,20.0,29634109.0,21210596.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,21,6.811.829,5.384.373,21.0,6811829.0,5384373.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",21.1,4.341.024,2.831.095,211.0,4341024.0,2831095.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,21.2,2.470.805,2.553.278,212.0,2470805.0,2553278.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,365.227.883,283.330.532,,365227883.0,283330532.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,31.234.068,26.034.068,,31234068.0,26034068.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,31.200.000,26.000.000,,31200000.0,26000000.0
- Vốn đầu tư xây dựng cơ bản,VỐN CHỦ SỞ HỮU > - Vốn đầu tư xây dựng cơ bản,- Vốn đầu tư xây dựng cơ bản,,608,608,,608.0,608.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,33.460,33.460,,33460.0,33460.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,,4.393.879,3.288.026,,4393879.0,3288026.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,6.818.111,7.495.463,,6818111.0,7495463.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,23,42.446.058,36.817.557,23.0,42446058.0,36817557.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,407.673.941,320.148.089,,407673941.0,320148089.0
