row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tảitriệu đồng,Thiết bị dụng cụquản lýtriệu đồng,TSCĐhửu hình kháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tảitriệu đồng,numeric__Thiết bị dụng cụquản lýtriệu đồng,numeric__TSCĐhửu hình kháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.380,531.980,90.021,94.215,5.592,746.188,24380.0,531980.0,90021.0,94215.0,5592.0,746188.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,88.463,38.928,15.701,1.367,144.459,,88463.0,38928.0,15701.0,1367.0,144459.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(30.781),(9.525),(13.214),-,(53.520),,-30781.0,-9525.0,-13214.0,,-53520.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(233),(167),-,535,(135),-,-233.0,-167.0,,535.0,-135.0,
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,38,-,137,-,175,,38.0,,137.0,,175.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.147,589.533,119.424,97.374,6.824,837.302,24147.0,589533.0,119424.0,97374.0,6824.0,837302.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,11.863,344.235,79.055,76.423,2.175,513.751,11863.0,344235.0,79055.0,76423.0,2175.0,513751.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,373,68.005,4.483,14.141,1.541,88.543,373.0,68005.0,4483.0,14141.0,1541.0,88543.0
Thanh lý trong năm,Giá trị khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,(30.688),(9.527),(13.121),-,(53.336),,-30688.0,-9527.0,-13121.0,,-53336.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,(171),(135),-,441,(135),-,-171.0,-135.0,,441.0,-135.0,
Tăng khác,Giá trị khấu hao lũy kế > Tăng khác,Tăng khác,-,38,-,137,-,175,,38.0,,137.0,,175.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,12.065,381.455,74.011,78.021,3.581,549.133,12065.0,381455.0,74011.0,78021.0,3581.0,549133.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.517,187.745,10.966,17.792,3.417,232.437,12517.0,187745.0,10966.0,17792.0,3417.0,232437.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.082,208.078,45.413,19.353,3.243,288.169,12082.0,208078.0,45413.0,19353.0,3243.0,288169.0
