row_label_raw,row_label_full,col_0,Năm 2025 triệu đồng,Năm 2024 triệu đồng,numeric__Năm 2025 triệu đồng,numeric__Năm 2024 triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,608.354,1.869.859,608354.0,1869859.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,366.904,1.341.826,366904.0,1341826.0
Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,2.736,23.206,2736.0,23206.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,105,307,105.0,307.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,238.609,504.520,238609.0,504520.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(32.501),(577.625),-32501.0,-577625.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,-,(8),,-8.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,-,(52),,-52.0
Chi phí khác,Chi phí khác,Chi phí khác,(32.501),(577.565),-32501.0,-577565.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,575.853,1.292.234,575853.0,1292234.0
