row_label_raw,row_label_full,col_0,Vốn điều lệ,Thăng dưvốn cổ phần,Quỹ đầu tưphát triển,Quỹ dự phòngtài chính,Quỹ dự trữbổ sung vốndiều lệ,Vốn đầu tưxây dựngcơ bản,Lợi nhuậnsau thuếchưa phânphối,Tổng công,numeric__Vốn điều lệ,numeric__Thăng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ dự phòngtài chính,numeric__Quỹ dự trữbổ sung vốndiều lệ,numeric__Vốn đầu tưxây dựngcơ bản,numeric__Lợi nhuậnsau thuếchưa phânphối,numeric__Tổng công
Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,20.000.000,33.460,3.397,1.807.382,779.180,608,8.674.185,31.298.212,20000000.0,33460.0,3397.0,1807382.0,779180.0,608.0,8674185.0,31298212.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,5.519.377,5.519.377,,,,,,,5519377.0,5519377.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,465.399,232.700,-,(698.099),-,,,,465399.0,232700.0,,-698099.0,
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,(32),-,-,-,(32),,,,-32.0,,,,-32.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,6.000.000,-,-,-,-,-,(6.000.000),-,6000000.0,,,,,,-6000000.0,
Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,26.000.000,33.460,3.397,2.272.749,1.011.880,608,7.495.463,36.817.557,26000000.0,33460.0,3397.0,2272749.0,1011880.0,608.0,7495463.0,36817557.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,5.628.520,5.628.520,,,,,,,5628520.0,5628520.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,552.936,552.936,-,(1.105.872),-,,,,552936.0,552936.0,,-1105872.0,
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,(19),-,-,-,(19),,,,-19.0,,,,-19.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,5.200.000,-,-,-,-,-,(5.200.000),-,5200000.0,,,,,,-5200000.0,
Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,31.200.000,33.460,3.397,2.825.666,1.564.816,608,6.818.111,42.446.058,31200000.0,33460.0,3397.0,2825666.0,1564816.0,608.0,6818111.0,42446058.0
