row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2025triệu đồng,Ngày 31 tháng 12năm 2024triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2025triệu đồng,numeric__Ngày 31 tháng 12năm 2024triệu đồng
1. Bảo lãnh vay vốn,1. Bảo lãnh vay vốn,1. Bảo lãnh vay vốn,38,179.186,183.030,38.0,179186.0,183030.0
2. Cam kết giao dịch hồi đoái,2. Cam kết giao dịch hồi đoái,2. Cam kết giao dịch hồi đoái,38,563.818.271,479.800.332,38.0,563818271.0,479800332.0
2.1 Cam kết mua ngoại tệ,2.1 Cam kết mua ngoại tệ,2.1 Cam kết mua ngoại tệ,,9.059.474,11.749.712,,9059474.0,11749712.0
2.2 Cam kết bán ngoại tệ,2.2 Cam kết bán ngoại tệ,2.2 Cam kết bán ngoại tệ,,9.058.693,11.751.127,,9058693.0,11751127.0
2.3 Cam kết giao dịch hoán đổi,2.3 Cam kết giao dịch hoán đổi,2.3 Cam kết giao dịch hoán đổi,,545.700.104,456.299.493,,545700104.0,456299493.0
3. Cam kết trong nghiệp vụ L/C,3. Cam kết trong nghiệp vụ L/C,3. Cam kết trong nghiệp vụ L/C,38,7.543.173,3.135.897,38.0,7543173.0,3135897.0
4. Bảo lãnh khác,4. Bảo lãnh khác,4. Bảo lãnh khác,38,41.177.703,24.893.161,38.0,41177703.0,24893161.0
5. Các cam kết khác,5. Các cam kết khác,5. Các cam kết khác,38,23.252.578,20.300.893,38.0,23252578.0,20300893.0
6. Lãi cho vay và phí phải thu chưa thu được,6. Lãi cho vay và phí phải thu chưa thu được,6. Lãi cho vay và phí phải thu chưa thu được,39,1.564.242,1.544.919,39.0,1564242.0,1544919.0
7. Nợ khó đòi đã xử lý,7. Nợ khó đòi đã xử lý,7. Nợ khó đòi đã xử lý,40,19.262.555,15.539.126,40.0,19262555.0,15539126.0
8. Tài sản và chứng từ khác,8. Tài sản và chứng từ khác,8. Tài sản và chứng từ khác,41,111.663.492,94.502.930,41.0,111663492.0,94502930.0
