row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,Tổng tiền gửi huy động (tiền gửi của khách hàng và tiền gửi của các TCTD khác) triệu đồng,Các cam kết tín dụng triệu đồng,Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,Kinh doanh và đầu tư chứng khoán triệu đồng,numeric__Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,numeric__Tổng tiền gửi huy động (tiền gửi của khách hàng và tiền gửi của các TCTD khác) triệu đồng,numeric__Các cam kết tín dụng triệu đồng,numeric__Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,numeric__Kinh doanh và đầu tư chứng khoán triệu đồng
Trong nước,Trong nước,Trong nước,219.929.874,275.628.661,48.900.062,326.782.297,97.307.982,219929874.0,275628661.0,48900062.0,326782297.0,97307982.0
Nước ngoài,Nước ngoài,Nước ngoài,-,197.231,-,-,-,,197231.0,,,
Tổng,Tổng,Tổng,219.929.874,275.825.892,48.900.062,326.782.297,97.307.982,219929874.0,275825892.0,48900062.0,326782297.0,97307982.0
