row_label_raw,row_label_full,Thù lao của Hội đồng quản trị,(11.083),(11.395),numeric__(11.083),numeric__(11.395)
- Ông Trần Anh Tuấn,- Ông Trần Anh Tuấn,- Ông Trần Anh Tuấn,-,-,,
- Bà Nguyễn Thị Thiên Hương,- Ông Trần Anh Tuấn > - Bà Nguyễn Thị Thiên Hương,- Bà Nguyễn Thị Thiên Hương,-,(806),,-806.0
- Ông Nguyễn Hoàng An,- Ông Trần Anh Tuấn > - Ông Nguyễn Hoàng An,- Ông Nguyễn Hoàng An,(2.975),(2.952),-2975.0,-2952.0
- Ông Trần Xuân Quảng,- Ông Trần Anh Tuấn > - Ông Trần Xuân Quảng,- Ông Trần Xuân Quảng,(2.845),(2.838),-2845.0,-2838.0
- Bà Lê Thị Liên,- Ông Trần Anh Tuấn > - Bà Lê Thị Liên,- Bà Lê Thị Liên,(1.895),(1.879),-1895.0,-1879.0
- Ông Võ Tấn Long,- Ông Trần Anh Tuấn > - Ông Võ Tấn Long,- Ông Võ Tấn Long,(1.775),(1.328),-1775.0,-1328.0
- Ông Tạ Ngọc Đa,- Ông Trần Anh Tuấn > - Ông Tạ Ngọc Đa,- Ông Tạ Ngọc Đa,(1.593),(1.592),-1593.0,-1592.0
Thù lao của Ban kiểm soát,- Ông Trần Anh Tuấn > Thù lao của Ban kiểm soát,Thù lao của Ban kiểm soát,(5.730),(5.496),-5730.0,-5496.0
Lương của Tổng Giám đốc,- Ông Trần Anh Tuấn > Lương của Tổng Giám đốc,Lương của Tổng Giám đốc,(11.355),(11.532),-11355.0,-11532.0
Thu nhập lãi tiền vay,- Ông Trần Anh Tuấn > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,19.422,22.274,19422.0,22274.0
Chi phí lãi tiền gửi và chứng chỉ tiền gửi,- Ông Trần Anh Tuấn > Chi phí lãi tiền gửi và chứng chỉ tiền gửi,Chi phí lãi tiền gửi và chứng chỉ tiền gửi,(3.449),(19.469),-3449.0,-19469.0
Thu nhập từ phí dịch vụ và thu nhập khác,- Ông Trần Anh Tuấn > Thu nhập từ phí dịch vụ và thu nhập khác,Thu nhập từ phí dịch vụ và thu nhập khác,464,364,464.0,364.0
