row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025_1,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024_1,numeric__Ngày 31 tháng 12 năm 2025,numeric__Ngày 31 tháng 12 năm 2025_1,numeric__Ngày 31 tháng 12 năm 2024,numeric__Ngày 31 tháng 12 năm 2024_1
,,,triệu đồng,%,triệu đồng,%,,,,
"Nông nghiệp, lâm nghiệp, thủy sản","Nông nghiệp, lâm nghiệp, thủy sản","Nông nghiệp, lâm nghiệp, thủy sản",479.063,"0,23",629.627,"0,36",479063.0,0.23,629627.0,0.36
Khai khoáng,Khai khoáng,Khai khoáng,160.874,"0,08",1.176.661,"0,67",160874.0,0.08,1176661.0,0.67
Chế biến thủy hải sản,Chế biến thủy hải sản,Chế biến thủy hải sản,1.655.320,"0,81",1.355.092,"0,77",1655320.0,0.81,1355092.0,0.77
"Sản xuất, chế biến lương thực thực phẩm, đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực thực phẩm, đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực thực phẩm, đồ uống, thức ăn chăn nuôi",2.035.080,"0,99",2.295.490,"1,30",2035080.0,0.99,2295490.0,1.3
"Dệt may, sản xuất da dày, sản xuất trang phục","Dệt may, sản xuất da dày, sản xuất trang phục","Dệt may, sản xuất da dày, sản xuất trang phục",928.898,"0,45",1.445.539,"0,82",928898.0,0.45,1445539.0,0.82
"Khai thác và sơ chế gỗ, chế biến gỗ, sản xuất sản phẩm từ gỗ và lâm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sản xuất sản phẩm từ gỗ và lâm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sản xuất sản phẩm từ gỗ và lâm sản khác",1.841.096,"0,90",1.910.169,"1,08",1841096.0,0.9,1910169.0,1.08
Sản xuất giấy và các sản phẩm từ giấy và in án,Sản xuất giấy và các sản phẩm từ giấy và in án,Sản xuất giấy và các sản phẩm từ giấy và in án,388.785,"0,19",407.433,"0,23",388785.0,0.19,407433.0,0.23
"Sản xuất thuốc, hóa được, được liệu; cao su, nhựa, phân bón, hóa chất","Sản xuất thuốc, hóa được, được liệu; cao su, nhựa, phân bón, hóa chất","Sản xuất thuốc, hóa được, được liệu; cao su, nhựa, phân bón, hóa chất",3.117.951,"1,52",2.797.289,"1,58",3117951.0,1.52,2797289.0,1.58
"Sản xuất vật liệu xây dựng (trừ thép, Inox, son, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox, son, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox, son, matit và các chất tương tự)",2.837.918,"1,38",3.202.064,"1,81",2837918.0,1.38,3202064.0,1.81
Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,2.172.386,"1,06",1.813.945,"1,03",2172386.0,1.06,1813945.0,1.03
Sản xuất phối thép,Sản xuất phối thép,Sản xuất phối thép,-,-,4.789,"0,00",,,4789.0,0.0
Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,89.925,"0,04",84.256,"0,05",89925.0,0.04,84256.0,0.05
"Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xe máy","Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xe máy","Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xe máy",4.672.517,"2,28",3.913.479,"2,22",4672517.0,2.28,3913479.0,2.22
"Sản xuất điện tử, thiết bị điện, máy vi tính quang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tính quang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tính quang học, thiết bị viễn thông",2.997.376,"1,46",7.270.865,"4,12",2997376.0,1.46,7270865.0,4.12
"Đóng tàu, thuyền","Đóng tàu, thuyền","Đóng tàu, thuyền",10.149,"0,00",521,"0,00",10149.0,0.0,521.0,0.0
"Sản xuất thiết bị văn phòng, đồ gia dụng, thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng, thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng, thiết bị y tế, giáo dục, thể dục thể thao",234.342,"0,11",167.999,"0,10",234342.0,0.11,167999.0,0.1
"Sản xuất và phân phối điện, nâng lượng, cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Sản xuất và phân phối điện, nâng lượng, cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Sản xuất và phân phối điện, nâng lượng, cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",5.236.113,"2,55",5.083.131,"2,88",5236113.0,2.55,5083131.0,2.88
Xây dựng,Xây dựng,Xây dựng,19.800.759,"9,65",15.786.992,"8,94",19800759.0,9.65,15786992.0,8.94
Thương mại hàng công nghiệp nhẹ và hàng tiêu dùng,Thương mại hàng công nghiệp nhẹ và hàng tiêu dùng,Thương mại hàng công nghiệp nhẹ và hàng tiêu dùng,23.076.154,"11,26",19.990.140,"11,33",23076154.0,11.26,19990140.0,11.33
