row_label_raw,row_label_full,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,numeric__Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,numeric__Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(59),(6.607),-59.0,-6607.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(4.230.000),-,-4230000.0,
Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,(75.561),-,-75561.0,
CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(6.136),(8.515),-6136.0,-8515.0
Tiền gửi có kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(760),(760),-760.0,-760.0
Phải trả lãi tiền gửi,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,(3),(2),-3.0,-2.0
Tiền vay,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,41,35,41.0,35.0
CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(578),(705),-578.0,-705.0
Tiền vay,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,21,17,21.0,17.0
CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,,
