row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Nguyễn Hoàng LinhÔng Nguyễn Phi HùngBà Nguyễn Hương Loan,Ông Nguyễn Hoàng LinhÔng Nguyễn Phi HùngBà Nguyễn Hương Loan,Ông Nguyễn Hoàng LinhÔng Nguyễn Phi HùngBà Nguyễn Hương Loan,Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc –Tổng Giám đốc Ngân hàng Định chế Tài chính,
Ông Nguyễn Thế Minh,Ông Nguyễn Thế Minh,Ông Nguyễn Thế Minh,Phó Tổng Giám đốc – Tổng Giám đốc Ngân hàng Doanh nghiệp (Miễn nhiệm ngày 11/01/2025),
Bà Nguyễn Thị Mỹ HạnhBà Đình Thị Tố Uyên,Bà Nguyễn Thị Mỹ HạnhBà Đình Thị Tố Uyên,Bà Nguyễn Thị Mỹ HạnhBà Đình Thị Tố Uyên,Phó Tổng Giám đốc – Tổng Giám đốc Ngân hàng Bán lẻPhó Tổng Giám đốc – Giám đốc Khối Chiến lược (Miễn nhiệm ngày 11/01/2025),
Ông Hoàng Việt Phương,Ông Hoàng Việt Phương,Ông Hoàng Việt Phương,Tổng Giám đốc Ngân hàng Doanh nghiệp (Bổ nhiệm ngày 11/01/2025),
Ông Vũ Ngọc Bồng Lai,Ông Vũ Ngọc Bồng Lai,Ông Vũ Ngọc Bồng Lai,Giám đốc Khối Chiến lược và đổi mới sáng tạo (Bổ nhiệm ngày 06/02/2025),
Ông Bùi Đức QuangBà Nguyễn Thị Thu HằngÔng Nguyễn Quốc KhánhÔng Nguyễn Ngọc CươngBà Lại Thanh Mai,Ông Bùi Đức QuangBà Nguyễn Thị Thu HằngÔng Nguyễn Quốc KhánhÔng Nguyễn Ngọc CươngBà Lại Thanh Mai,Ông Bùi Đức QuangBà Nguyễn Thị Thu HằngÔng Nguyễn Quốc KhánhÔng Nguyễn Ngọc CươngBà Lại Thanh Mai,Tổng Giám đốc Ngân hàng Quản lý tín dụngGiám đốc Khối Quản lý Tài chínhGiám đốc Khối Công nghệGiám đốc Nhân sựGiám đốc Khối Tư vấn Pháp lý và Tuân thủ (Miễn nhiệm ngày 11/01/2025),
Bà Đình Thị Kim Anh,Bà Đình Thị Kim Anh,Bà Đình Thị Kim Anh,Giám đốc Khối Tư vấn Pháp lý và Tuân thủ (Bổ nhiệm ngày 11/01/2025),
Ông Dương Ngọc Dũng,Ông Dương Ngọc Dũng,Ông Dương Ngọc Dũng,Giám đốc Truyền thông và Marketing (Miễn nhiệm ngày 11/01/2025),
Bà Nguyễn Hà ThanhÔng Nguyễn Tiến ĐứcÔng Nguyễn Việt Sơn,Bà Nguyễn Hà ThanhÔng Nguyễn Tiến ĐứcÔng Nguyễn Việt Sơn,Bà Nguyễn Hà ThanhÔng Nguyễn Tiến ĐứcÔng Nguyễn Việt Sơn,Giám đốc Khối Vận hànhGiám đốc Khối Quản lý Rủi roGiám đốc Khối Khách hàng chiến lược (Miễn nhiệm ngày 11/01/2025),
Bà Nguyễn Thu Trang,Bà Nguyễn Thu Trang,Bà Nguyễn Thu Trang,Giám đốc Khối Văn phòng và Dịch vụ nội bộ (Miễn nhiệm ngày 11/01/2025),
