row_label_raw,row_label_full,col_0,Tài chínhngân hàngtriệu đồng,Kháctriệu đồng,Loại trừ giaodịch/số dư nội bộtriệu đồng,Tổng cộngtriệu đồng,numeric__Tài chínhngân hàngtriệu đồng,numeric__Kháctriệu đồng,numeric__Loại trừ giaodịch/số dư nội bộtriệu đồng,numeric__Tổng cộngtriệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,53.646.486,-,(22.628.375),31.018.111,53646486.0,,-22628375.0,31018111.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,44.229.518,-,(22.628.267),21.601.251,44229518.0,,-22628267.0,21601251.0
2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,2.377.465,-,(108),2.377.357,2377465.0,,-108.0,2377357.0
3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,7.039.503,-,-,7.039.503,7039503.0,,,7039503.0
II. Chi phí,II. Chi phí,II. Chi phí,(44.664.554),-,22.623.234,(22.041.320),-44664554.0,,22623234.0,-22041320.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(33.282.024),-,22.628.267,(10.653.757),-33282024.0,,22628267.0,-10653757.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(123.609),-,-,(123.609),-123609.0,,,-123609.0
3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,(11.258.921),-,(5.033),(11.263.954),-11258921.0,,-5033.0,-11263954.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,8.981.932,-,(5.141),8.976.791,8981932.0,,-5141.0,8976791.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(1.918.417),-,-,(1.918.417),-1918417.0,,,-1918417.0
Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,7.063.515,-,(5.141),7.058.374,7063515.0,,-5141.0,7058374.0
