row_label_raw,row_label_full,col_0,2024,2024_1,2023,2023_1,numeric__2024,numeric__2024_1,numeric__2023,numeric__2023_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang di đường,Hàng mua đang di đường,Hàng mua đang di đường,1.134.955.602.332,-,1.694.417.707.278,-,1134955602332.0,,1694417707278.0,
"Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế",644.493.713.041,(113.014.149.550),689.809.617.558,(104.350.838.684),644493713041.0,-113014149550.0,689809617558.0,-104350838684.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,115.834.476.884,-,103.313.451.703,-,115834476884.0,,103313451703.0,
"Công cu, dung cu","Công cu, dung cu","Công cu, dung cu",2.129.870.537,-,5.186.520.851,-,2129870537.0,,5186520851.0,
Chi phí SXKD dở dang,Chi phí SXKD dở dang,Chi phí SXKD dở dang,796.111.091,-,413.175.268,-,796111091.0,,413175268.0,
Thành phẩm,Thành phẩm,Thành phẩm,176.598.546.042,-,97.164.212.985,-,176598546042.0,,97164212985.0,
Hàng hóa,Hàng hóa,Hàng hóa,2.079.285.575.847,-,1.050.866.769.526,-,2079285575847.0,,1050866769526.0,
Hàng gửi di bán,Hàng gửi di bán,Hàng gửi di bán,91.701.951.759,-,49.725.479.887,-,91701951759.0,,49725479887.0,
,,,4.245.795.847.533,(113.014.149.550),3.690.896.935.056,(104.350.838.684),4245795847533.0,-113014149550.0,3690896935056.0,-104350838684.0
