row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàcác thiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàcác thiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,10.455.410.167.379,1.456.715.611.452,274.250.518.858,455.723.190.406,45.955.693.575.495,58.607.793.063.590,10455410167379.0,1456715611452.0,274250518858.0,455723190406.0,45955693575495.0,58607793063590.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,35.490.077.009,68.543.495.962,9.039.317.958,10.066.745.070,21.121.758.779,144.261.394.778,35490077009.0,68543495962.0,9039317958.0,10066745070.0,21121758779.0,144261394778.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),884.090.563.193,7.323.338.663,-,617.011.085,146.754.696.393,1.038.785.609.334,884090563193.0,7323338663.0,,617011085.0,146754696393.0,1038785609334.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(3.882.700.561),(2.385.863.604),-,(10.894.360.612),(13.243.637.128),(30.406.561.905),-3882700561.0,-2385863604.0,,-10894360612.0,-13243637128.0,-30406561905.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,11.381.108.107.020,1.530.196.582.473,283.289.836.816,455.512.585.949,46.110.326.393.539,59.760.433.505.797,11381108107020.0,1530196582473.0,283289836816.0,455512585949.0,46110326393539.0,59760433505797.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,4.852.292.858.053,1.087.659.358.323,190.513.221.287,370.005.298.077,34.336.919.756.231,40.837.390.491.971,4852292858053.0,1087659358323.0,190513221287.0,370005298077.0,34336919756231.0,40837390491971.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,366.892.835.653,85.738.713.491,16.871.112.045,41.671.335.874,2.100.788.794.999,2.611.962.842.062,366892835653.0,85738713491.0,16871112045.0,41671335874.0,2100788794999.0,2611962842062.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,(3.882.700.561),(2.385.863.604),-,(10.894.360.612),(13.243.637.128),(30.406.561.905),-3882700561.0,-2385863604.0,,-10894360612.0,-13243637128.0,-30406561905.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,5.215.303.043.145,1.171.012.208.210,207.384.333.332,400.782.273.339,36.424.464.914.102,43.418.946.772.128,5215303043145.0,1171012208210.0,207384333332.0,400782273339.0,36424464914102.0,43418946772128.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,5.613.117.309.326,369.056.253.129,83.737.297.571,85.717.892.329,11.618.773.819.264,17.770.402.571.619,5613117309326.0,369056253129.0,83737297571.0,85717892329.0,11618773819264.0,17770402571619.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,6.165.805.063.875,359.184.374.263,75.905.503.484,54.730.312.610,9.635.861.479.437,16.341.486.733.669,6165805063875.0,359184374263.0,75905503484.0,54730312610.0,9635861479437.0,16341486733669.0
