row_label_raw,row_label_full,col_0,Tại ngày1.1.2024VND,TăngVND,Vay dài hạnđến hạn trảVND,GiảmVND,Đánh giá lạiVND,Tại ngày31.12.2024VND,numeric__Tại ngày1.1.2024VND,numeric__TăngVND,numeric__Vay dài hạnđến hạn trảVND,numeric__GiảmVND,numeric__Đánh giá lạiVND,numeric__Tại ngày31.12.2024VND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,4.218.655.291.790,1.634.494.780.485,(1.100.043.022.857),(2.552.964.236.664),52.114.669.182,2.252.257.481.936,4218655291790.0,1634494780485.0,-1100043022857.0,-2552964236664.0,52114669182.0,2252257481936.0
Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,,,,,,
,,,,Tại ngày31.12.2024VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất(năm),Tài sảnthe chấp,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,958.300.503.827,Trà trước cho khoản vay tại Ngân hàngThương mại Taipei Fubon và Ngân hàngTMCP Đông Nam Á,Đến ngày 2 tháng 10 năm 2030,"(i), (ii)",Tín chấp,,958300503827.0,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,,755.454.116.805,"Trà trước cho khoản vay tại Ngân hàngMizuho Bank, Ltd và Ngân hàng TMCP Đông Nam Á",Đến ngày 22 tháng 4 năm 2030,"(i), (ii)",Tín chấp,,755454116805.0,,,,
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,,318.023.499.138,Trà trước cho khoản vay tại Ngân hàngTMCP Sài Gòn - Hà Nội,Đến ngày 23 tháng 4 năm 2028,(ii),Tín chấp,,318023499138.0,,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,220.479.262.166,Trà trước cho khoản vay tại Ngân hàngTMCP Xuất nhập knâu Việt Nam,Đến ngày 23 tháng 4 năm 2030,(iii),Tín chấp,,220479262166.0,,,,
,,,,2.252.257.481.936,,,,,,2252257481936.0,,,,
