row_label_raw,row_label_full,Công ty mẹ,Công ty mẹ_1,Công ty mẹ_2,numeric__Công ty mẹ_1,numeric__Công ty mẹ_2
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,20.623.387.438.184,21.676.993.481.737,20623387438184.0,21676993481737.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Kinh doanh LPG Việt Nam,Các công ty con > Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,10.081.156.822,7.426.291.128,10081156822.0,7426291128.0
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Các công ty con > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,1.069.851.516,1.060.036.325,1069851516.0,1060036325.0
Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Các công ty con > Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,-,3.141.781.817,,3141781817.0
Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,,
Công ty Cổ phần Lộc hóa dầu Bình Sơn,Các công ty thành viên thuộc Tập đoàn > Công ty Cổ phần Lộc hóa dầu Bình Sơn,Công ty Cổ phần Lộc hóa dầu Bình Sơn,4.153.568.690.359,4.865.000.969.895,4153568690359.0,4865000969895.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,884.602.150.758,1.111.651.159.299,884602150758.0,1111651159299.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,481.069.196.199,575.003.994.280,481069196199.0,575003994280.0
Tổng Công ty Thăm dò Khai thác Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Thăm dò Khai thác Dầu khí,Tổng Công ty Thăm dò Khai thác Dầu khí,406.537.204.073,475.093.103.443,406537204073.0,475093103443.0
Liên doanh Việt - Nga Vietsovpetro,Các công ty thành viên thuộc Tập đoàn > Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,381.701.312.652,499.064.242.172,381701312652.0,499064242172.0
Tổng Công ty Bảo hiểm PVI,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,168.806.217.999,160.039.158.580,168806217999.0,160039158580.0
Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,58.193.480.054,46.802.199.786,58193480054.0,46802199786.0
Tổng Công ty Dầu Việt Nam - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,58.046.942.916,5.251.155.612,58046942916.0,5251155612.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,17.859.305.413,-,17859305413.0,
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,11.396.238.166,23.062.767.685,11396238166.0,23062767685.0
Viện Dầu khí Việt Nam,Các công ty thành viên thuộc Tập đoàn > Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,8.136.394.000,2.618.778.636,8136394000.0,2618778636.0
Trường Cao đẳng Dầu khí,Các công ty thành viên thuộc Tập đoàn > Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,6.411.902.860,38.248.153.000,6411902860.0,38248153000.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,4.676.092.095,11.527.849.600,4676092095.0,11527849600.0
Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,1.711.633.817,5.917.073.239,1711633817.0,5917073239.0
