row_label_raw,row_label_full,col_0,2024 > Giá gốc VND,2024 > Dự phòng VND,2024 > Giá trị hợp lý VND,2023 > Giá gốc VND,2023 > Dự phòng VND,2023 > Giá trị hợp lý VND,numeric__2024 > Giá gốc VND,numeric__2024 > Dự phòng VND,numeric__2024 > Giá trị hợp lý VND,numeric__2023 > Giá gốc VND,numeric__2023 > Dự phòng VND,numeric__2023 > Giá trị hợp lý VND
Công ty Cổ phần Sản xuất Ông thép,Công ty Cổ phần Sản xuất Ông thép,Công ty Cổ phần Sản xuất Ông thép,,,,,,,,,,,,
Dầu Khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép > Dầu Khí Việt Nam,Dầu Khí Việt Nam,1.858.375.690.000,(1.043.715.188.565),(*),1.858.375.690.000,(971.260.055.183),(*),1858375690000.0,-1043715188565.0,,1858375690000.0,-971260055183.0,
Công ty Cổ phần Phân phối Khí thấp áp,Công ty Cổ phần Phân phối Khí thấp áp,Công ty Cổ phần Phân phối Khí thấp áp,,,,,,,,,,,,
Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp > Dầu khí Việt Nam,Dầu khí Việt Nam,837.605.785.000,-,1.584.841.500.000,837.605.785.000,-,1.899.810.000.000,837605785000.0,,1584841500000.0,837605785000.0,,1899810000000.0
Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,481.819.822.512,-,609.336.000.000,481.319.822.512,-,538.574.400.000,481819822512.0,,609336000000.0,481319822512.0,,538574400000.0
Công ty Cổ phần Kinh doanh LPG,Công ty Cổ phần Kinh doanh LPG,Công ty Cổ phần Kinh doanh LPG,,,,,,,,,,,,
Việt Nam,Công ty Cổ phần Kinh doanh LPG > Việt Nam,Việt Nam,206.166.408.900,-,144.196.213.700,206.166.408.900,-,168.541.029.000,206166408900.0,,144196213700.0,206166408900.0,,168541029000.0
Công ty TNHH Kho Căng LNG Sơn Mỹ,Công ty Cổ phần Kinh doanh LPG > Công ty TNHH Kho Căng LNG Sơn Mỹ,Công ty TNHH Kho Căng LNG Sơn Mỹ,183.000.000.000,(4.095.138.504),(*),183.000.000.000,(4.118.133.980),(*),183000000000.0,-4095138504.0,,183000000000.0,-4118133980.0,
Công ty Cổ phần Bọc ống Dầu khí,Công ty Cổ phần Bọc ống Dầu khí,Công ty Cổ phần Bọc ống Dầu khí,,,,,,,,,,,,
Việt Nam,Công ty Cổ phần Bọc ống Dầu khí > Việt Nam,Việt Nam,127.902.365.221,-,341.876.600.000,127.902.365.221,-,242.400.800.000,127902365221.0,,341876600000.0,127902365221.0,,242400800000.0
Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần Bọc ống Dầu khí > Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,51.000.000.000,(804.433.917),(*),51.000.000.000,(2.698.396.404),(*),51000000000.0,-804433917.0,,51000000000.0,-2698396404.0,
,,,3.745.870.071.633,(1.048.614.760.986),,3.745.870.071.633,(978.076.585.567),,3745870071633.0,-1048614760986.0,,3745870071633.0,-978076585567.0,
(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,(c) Đầu tư vào công ty liên kết,,,,,,
,,,2024,2024,2024,2023,2023,2023,2024.0,2024.0,2024.0,2023.0,2023.0,2023.0
,,,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,,,,,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,(c) Đầu tư vào công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,226.460.000.000,-,578.315.791.200,226.460.000.000,-,488.394.738.300,226460000000.0,,578315791200.0,226460000000.0,,488394738300.0
Công ty TNHH Khí Nhiên liệu,Công ty TNHH Khí Nhiên liệu,Công ty TNHH Khí Nhiên liệu,,,,,,,,,,,,
Giao thông Vận tải PVGazprom,Công ty TNHH Khí Nhiên liệu > Giao thông Vận tải PVGazprom,Giao thông Vận tải PVGazprom,58.000.000.000,(23.163.239.753),(*),58.000.000.000,(23.340.225.432),(*),58000000000.0,-23163239753.0,,58000000000.0,-23340225432.0,
,,,284.460.000.000,(23.163.239.753),,284.460.000.000,(23.340.225.432),,284460000000.0,-23163239753.0,,284460000000.0,-23340225432.0,
