row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2023,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Quỹ đầu tư phát triển VND > 20.791.553.148.710,LNST chưa phân phối lũy kế của các năm trước VND > 5.347.189.158.177,LNST chưa phân phối của năm nay VND > 14.448.410.237.565,Tổng cộng VND > 59.937.332.085.749,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Quỹ đầu tư phát triển VND > 20.791.553.148.710,numeric__LNST chưa phân phối lũy kế của các năm trước VND > 5.347.189.158.177,numeric__LNST chưa phân phối của năm nay VND > 14.448.410.237.565,numeric__Tổng cộng VND > 59.937.332.085.749
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,14.448.410.237.565,(14.448.410.237.565),-,,,,14448410237565.0,-14448410237565.0,
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,3.827.898.470.000,(210.432.814.031),(3.617.465.655.969),-,-,-,3827898470000.0,-210432814031.0,-3617465655969.0,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,11.556.804.668.103,11.556.804.668.103,,,,,11556804668103.0,11556804668103.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,6.526.000.000.000,(6.526.000.000.000),-,-,,,6526000000000.0,-6526000000000.0,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,(203.883.808.527),(173.750.000.000),(377.633.808.527),,,,-203883808527.0,-173750000000.0,-377633808527.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(6.890.220.000.000),-,(6.890.220.000.000),,,,-6890220000000.0,,-6890220000000.0
Khác,Khác,Khác,-,-,-,(101.506.691.333),-,(101.506.691.333),,,,-101506691333.0,,-101506691333.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,22.967.398.470.000,246.727.266,23.700.087.492.741,6.073.988.895.882,11.383.054.668.103,64.124.776.253.992,22967398470000.0,246727266.0,23700087492741.0,6073988895882.0,11383054668103.0,64124776253992.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,11.383.054.668.103,(11.383.054.668.103),-,,,,11383054668103.0,-11383054668103.0,
Vốn tăng trong năm (i),Vốn tăng trong năm (i),Vốn tăng trong năm (i),459.330.720.000,-,(459.330.720.000),-,-,-,459330720000.0,,-459330720000.0,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,10.142.841.846.967,10.142.841.846.967,,,,,10142841846967.0,10142841846967.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,3.467.000.000.000,(3.467.000.000.000),-,-,,,3467000000000.0,-3467000000000.0,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)",-,-,-,(194.885.350.513),(182.985.607.756),(377.870.958.269),,,,-194885350513.0,-182985607756.0,-377870958269.0
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,(13.780.439.032.000),-,(13.780.439.082.000),,,,-13780439032000.0,,-13780439082000.0
Khác,Khác,Khác,-,-,-,(19.331.306.861),-,(19.331.306.861),,,,-19331306861.0,,-19331306861.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,23.426.729.190.000,246.727.266,26.707.756.772.741,(4.612.175.389),9.959.856.239.211,60.089.976.753.829,23426729190000.0,246727266.0,26707756772741.0,-4612175389.0,9959856239211.0,60089976753829.0
