row_label_raw,row_label_full,Mãsố,NGUỒN VỐN,Thuyếtminh,Tại ngày 31 tháng 12 năm,Tại ngày 31 tháng 12 năm_1,numeric__NGUỒN VỐN,numeric__Thuyếtminh,numeric__Tại ngày 31 tháng 12 năm,numeric__Tại ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,NGUỒN VỐN,Thuyếtminh,2024VND,2023VND,,,,
300,Mãsố > 300,300,NỘ PHẢI TRẢ,,18.691.969.503.308,21.225.027.566.597,,,18691969503308.0,21225027566597.0
310,Mãsố > 310,310,Nợ ngắn hạn,,13.459.021.155.594,14.247.097.354.325,,,13459021155594.0,14247097354325.0
311,Mãsố > 311,311,Phải trả người bán ngắn hạn,13,5.627.072.471.947,6.906.094.590.796,,13.0,5627072471947.0,6906094590796.0
312,Mãsố > 312,312,Người mua trả tiền trước ngắn hạn,,86.364.083.615,45.947.836.662,,,86364083615.0,45947836662.0
313,Mãsố > 313,313,Thuế và các khoản phải nộp Nhà nước,14(c),661.920.797.060,623.880.797.718,,,661920797060.0,623880797718.0
314,Mãsố > 314,314,Phải trả người lao động,,349.093.330.262,319.930.620.812,,,349093330262.0,319930620812.0
315,Mãsố > 315,315,Chi phí phải trả ngắn hạn,15,2.946.708.370.699,2.790.866.101.345,,15.0,2946708370699.0,2790866101345.0
318,Mãsố > 318,318,Doanh thu chưa thực hiện ngắn hạn,16,2.239.861.135.272,1.034.757.217.156,,16.0,2239861135272.0,1034757217156.0
319,Mãsố > 319,319,Phải trả ngắn hạn khác,17,143.728.195.285,469.322.318.912,,17.0,143728195285.0,469322318912.0
320,Mãsố > 320,320,Vay ngắn hạn,18(a),779.051.532.366,1.491.278.230.399,,,779051532366.0,1491278230399.0
322,Mãsố > 322,322,"Quỹ khen thưởng, phúc lợi",19,625.221.239.088,565.019.640.525,,19.0,625221239088.0,565019640525.0
330,Mãsố > 330,330,Nợ dài hạn,,5.232.948.347.714,6.977.930.212.272,,,5232948347714.0,6977930212272.0
337,Mãsố > 337,337,Phải trả dài hạn khác,,9.544.416.391,7.218.692.161,,,9544416391.0,7218692161.0
338,Mãsố > 338,338,Vay dài hạn,18(b),2.252.257.481.936,4.218.655.291.790,,,2252257481936.0,4218655291790.0
342,Mãsố > 342,342,Dự phòng phải trả dài hạn,20,2.935.663.434.888,2.751.544.570.779,,20.0,2935663434888.0,2751544570779.0
343,Mãsố > 343,343,Quỹ phát triển khoa học và công nghệ,,35.483.014.499,511.657.542,,,35483014499.0,511657542.0
400,Mãsố > 400,400,VỐN CHỦ SỞ HỮU,,60.089.976.753.829,64.124.776.253.992,,,60089976753829.0,64124776253992.0
410,Mãsố > 410,410,Vốn chủ sở hữu,,60.089.976.753.829,64.124.776.253.992,,,60089976753829.0,64124776253992.0
411,Mãsố > 411,411,Vốn góp của chủ sở hữu,"21, 22",23.426.729.190.000,22.967.398.470.000,,,23426729190000.0,22967398470000.0
411a,Mãsố > 411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,23.426.729.190.000,22.967.398.470.000,,,23426729190000.0,22967398470000.0
412,Mãsố > 412,412,Thặng dư vốn cổ phần,22,246.727.266,246.727.266,,22.0,246727266.0,246727266.0
418,Mãsố > 418,418,Quỹ đầu tư phát triển,22,26.707.756.772.741,23.700.087.492.741,,22.0,26707756772741.0,23700087492741.0
421,Mãsố > 421,421,"Lợi nhuận sau thuế (""LNST"")chưa phân phối",22,9.955.244.063.822,17.457.043.563.985,,22.0,9955244063822.0,17457043563985.0
421a,Mãsố > 421a,421a,- LNST chưa phân phối lũy kế củacác năm trước,,(4.612.175.389),6.073.988.895.882,,,-4612175389.0,6073988895882.0
421b,Mãsố > 421b,421b,- LNST chưa phân phối của năm nay,,9.959.856.239.211,11.383.054.668.103,,,9959856239211.0,11383054668103.0
440,Mãsố > 440,440,TỔNG NGUỒN VỐN,,78.781.946.257.137,85.349.803.820.589,,,78781946257137.0,85349803820589.0
