row_label_raw,row_label_full,col_0,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Số có khả năng trả nợ VND,Tại ngày 30.9.2023 > Giá trị VND,Tại ngày 30.9.2023 > Số có khả năng trả nợ VND,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Số có khả năng trả nợ VND,numeric__Tại ngày 30.9.2023 > Giá trị VND,numeric__Tại ngày 30.9.2023 > Số có khả năng trả nợ VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty TNHH Thép Kim Quốc,Bên thứ ba > Công ty TNHH Thép Kim Quốc,Công ty TNHH Thép Kim Quốc,603.635.726.823,603.635.726.823,148.774.386.772,148.774.386.772,603635726823.0,603635726823.0,148774386772.0,148774386772.0
Công ty Cổ phần Thép Hòa Phát Dung Quất,Bên thứ ba > Công ty Cổ phần Thép Hòa Phát Dung Quất,Công ty Cổ phần Thép Hòa Phát Dung Quất,382.563.821.530,382.563.821.530,29.420.508.150,29.420.508.150,382563821530.0,382563821530.0,29420508150.0,29420508150.0
Wín Faith Trading Limited,Bên thứ ba > Wín Faith Trading Limited,Wín Faith Trading Limited,-,-,1.060.712.721.850,1.060.712.721.850,,,1060712721850.0,1060712721850.0
Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,Bên thứ ba > Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,-,-,215.321.324.077,215.321.324.077,,,215321324077.0,215321324077.0
Khác,Bên thứ ba > Khác,Khác,1.332.772.001.647,1.332.772.001.647,1.421.350.283.452,1.421.350.283.452,1332772001647.0,1332772001647.0,1421350283452.0,1421350283452.0
Bên liên quan (Thuyết minh 37(b)),Bên thứ ba > Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),9.041.894.688,9.041.894.688,9.592.968.414,9.592.968.414,9041894688.0,9041894688.0,9592968414.0,9592968414.0
,,,2.328.013.444.688,2.328.013.444.688,2.885.172.192.715,2.885.172.192.715,2328013444688.0,2328013444688.0,2885172192715.0,2885172192715.0
13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN,,,,
,,,,,30.9.2024 VND,30.9.2023 VND,,,,
Bên thứ ba,13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN > Bên thứ ba,Bên thứ ba,,,183.343.510.186,130.018.877.787,,,183343510186.0,130018877787.0
Bên liên quan (Thuyết minh 37(b)),13 NGƯỜI MUA TRÀ TIỀN TRƯỚC NGÂN HẠN > Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),,,15.547.244.327,12.508.532.875,,,15547244327.0,12508532875.0
,,,,,198.890.754.513,142.527.410.662,,,198890754513.0,142527410662.0
