row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày > 30.9.2024 VND,Năm tài chính kết thúc ngày > 30.9.2023 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày > 30.9.2024 VND,numeric__Năm tài chính kết thúc ngày > 30.9.2023 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,39.882.804.917.399,32.084.297.693.056,,,39882804917399.0,32084297693056.0
02,02,02,Các khoản giảm trừ doanh thu,,(610.911.178.951),(433.636.736.406),,,-610911178951.0,-433636736406.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,26,39.271.893.738.448,31.650.660.956.650,,26.0,39271893738448.0,31650660956650.0
11,11,11,Giá vốn hàng bán và cung cấp dịch vụ,27,(35.008.227.341.981),(28.590.018.867.006),,27.0,-35008227341981.0,-28590018867006.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,4.263.666.396.467,3.060.642.089.644,,,4263666396467.0,3060642089644.0
21,21,21,Doanh thu hoạt động tài chính,28,341.714.489.440,233.474.915.968,,28.0,341714489440.0,233474915968.0
22,22,22,Chi phí tài chính,29,(254.496.678.142),(314.154.742.246),,29.0,-254496678142.0,-314154742246.0
23,23,23,- Trong đó: Chi phí lãi vay,29,(133.022.415.113),(195.489.503.107),,29.0,-133022415113.0,-195489503107.0
25,25,25,Chi phí bán hàng,30,(3.344.662.264.465),(2.476.864.155.543),,30.0,-3344662264465.0,-2476864155543.0
26,26,26,Chi phí quản lý doanh nghiệp,31,(495.608.090.352),(406.967.911.274),,31.0,-495608090352.0,-406967911274.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,510.613.852.948,96.130.196.549,,,510613852948.0,96130196549.0
31,31,31,Thu nhập khác,,47.104.533.756,51.053.143.467,,,47104533756.0,51053143467.0
32,32,32,Chi phí khác,,(6.515.129.358),(1.160.780.453),,,-6515129358.0,-1160780453.0
40,40,40,Lợi nhuận khác,32,40.589.404.398,49.892.363.014,,32.0,40589404398.0,49892363014.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,551.203.257.346,146.022.559.563,,,551203257346.0,146022559563.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp (“TNDN”) hiện hành,33,(83.641.785.140),(64.666.147.735),,33.0,-83641785140.0,-64666147735.0
52,52,52,Thu nhập/(chi phí) thuế TNDN hoãn lại,33,47.112.504.164,(51.294.067.926),,33.0,47112504164.0,-51294067926.0
60,60,60,Lợi nhuận sau thuế TNDN,,514.673.976.370,30.062.343.902,,,514673976370.0,30062343902.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Lợi nhuận sau thuế của công ty mẹ,,514.634.808.368,30.008.235.685,,,514634808368.0,30008235685.0
62,62,62,Lợi nhuận sau thuế của cổ đông không kiểm soát,,39.168.002,54.108.217,,,39168002.0,54108217.0
70,70,70,Lãi cơ bản trên cổ phiếu,24(a),802,47,,,802.0,47.0
71,71,71,Lãi suy giảm trên cổ phiếu,24(b),802,47,,,802.0,47.0
