row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 10 năm 2023,Nguyên giá > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,2.930.864.766.517,10.640.298.501.123,517.609.232.616,100.956.640.089,38.164.387.398,14.227.893.527.743,2930864766517.0,10640298501123.0,517609232616.0,100956640089.0,38164387398.0,14227893527743.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,308.181.818,20.808.319.625,17.852.494.453,225.900.000,2.278.361.381,41.473.257.277,308181818.0,20808319625.0,17852494453.0,225900000.0,2278361381.0,41473257277.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 11),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 11),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 11),12.813.507.522,32.674.545.214,9.463.439.350,-,99.088.397,55.050.580.483,12813507522.0,32674545214.0,9463439350.0,,99088397.0,55050580483.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(108.380.537.233),(17.384.196.949),-,-,(125.764.734.182),,-108380537233.0,-17384196949.0,,,-125764734182.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(7.845.512.701),(6.405.499.453),-,-,(158.894.011),(14.409.906.165),-7845512701.0,-6405499453.0,,,-158894011.0,-14409906165.0
Tại ngày 30 tháng 9 năm 2024,Nguyên giá > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,2.936.140.943.156,10.578.995.329.276,527.540.969.470,101.182.540.089,40.382.943.165,14.184.242.725.156,2936140943156.0,10578995329276.0,527540969470.0,101182540089.0,40382943165.0,14184242725156.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,1.118.564.804.868,7.750.021.829.732,418.845.360.929,80.775.626.545,27.043.404.020,9.395.251.026.094,1118564804868.0,7750021829732.0,418845360929.0,80775626545.0,27043404020.0,9395251026094.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,181.093.411.727,753.071.770.236,38.411.573.820,7.630.363.148,2.821.199.979,983.028.318.910,181093411727.0,753071770236.0,38411573820.0,7630363148.0,2821199979.0,983028318910.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(82.985.496.296),(14.264.140.291),-,-,(97.249.636.587),,-82985496296.0,-14264140291.0,,,-97249636587.0
Xóa số,Giá trị khấu hao lũy kế > Xóa số,Xóa số,(4.837.162.411),(6.369.363.221),-,-,(158.894.011),(11.365.419.643),-4837162411.0,-6369363221.0,,,-158894011.0,-11365419643.0
Tại ngày 30 tháng 9 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,1.294.821.054.184,8.413.738.740.451,442.992.794.458,88.405.989.693,29.705.709.988,10.269.664.288.774,1294821054184.0,8413738740451.0,442992794458.0,88405989693.0,29705709988.0,10269664288774.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,1.812.299.961.649,2.890.276.671.391,98.763.871.687,20.181.013.544,11.120.983.378,4.832.642.501.649,1812299961649.0,2890276671391.0,98763871687.0,20181013544.0,11120983378.0,4832642501649.0
Tại ngày 30 tháng 9 năm 2024,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,1.641.319.888.972,2.165.256.588.825,84.548.175.012,12.776.550.396,10.677.233.177,3.914.578.436.382,1641319888972.0,2165256588825.0,84548175012.0,12776550396.0,10677233177.0,3914578436382.0
