row_label_raw,row_label_full,col_0,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Dự phòng VND,Tại ngày 30.9.2023 > Giá trị VND,Tại ngày 30.9.2023 > Dự phòng VND,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Dự phòng VND,numeric__Tại ngày 30.9.2023 > Giá trị VND,numeric__Tại ngày 30.9.2023 > Dự phòng VND
Tam ứng cho nhân viên,Tam ứng cho nhân viên,Tam ứng cho nhân viên,29.772.893.989,-,25.566.944.730,-,29772893989.0,,25566944730.0,
Đặt cọc thuê mặt bằng,Đặt cọc thuê mặt bằng,Đặt cọc thuê mặt bằng,24.118.490.000,-,30.694.045.800,-,24118490000.0,,30694045800.0,
Phải thu chi phí giải phóng mặt bằng (*),Phải thu chi phí giải phóng mặt bằng (*),Phải thu chi phí giải phóng mặt bằng (*),20.000.000.000,-,95.738.070.000,-,20000000000.0,,95738070000.0,
Khoản ký quỹ LC chờ thanh toán,Khoản ký quỹ LC chờ thanh toán,Khoản ký quỹ LC chờ thanh toán,-,-,144.324.780.746,-,,,144324780746.0,
Tam ứng đề mua đất,Tam ứng đề mua đất,Tam ứng đề mua đất,-,-,58.438.165.400,-,,,58438165400.0,
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,34.005.840,-,10.345.169.668,(10.345.169.668),34005840.0,,10345169668.0,-10345169668.0
"Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn",2.860.290.001,-,3.859.454.630,-,2860290001.0,,3859454630.0,
Khác,Khác,Khác,10.711.103.027,-,14.651.120.387,-,10711103027.0,,14651120387.0,
,,,87.496.782.857,-,383.617.751.361,(10.345.169.668),87496782857.0,,383617751361.0,-10345169668.0
"Trong đó,Bên thứ ba","Trong đó,Bên thứ ba","Trong đó,Bên thứ ba",86.726.782.857,-,337.145.526.361,(10.345.169.668),86726782857.0,,337145526361.0,-10345169668.0
Bên liên quan(Thuyết minh 37(b)),Bên liên quan(Thuyết minh 37(b)),Bên liên quan(Thuyết minh 37(b)),770.000.000,-,46.472.225.000,-,770000000.0,,46472225000.0,
,,,87.496.782.857,-,383.617.751.361,(10.345.169.668),87496782857.0,,383617751361.0,-10345169668.0
