row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi do thanh lý TSCĐ,Thu nhập khác > Lãi do thanh lý TSCĐ,Lãi do thanh lý TSCĐ,20.408.567.791,7.295.251.088,20408567791.0,7295251088.0
Tiền bồi thường thu được,Thu nhập khác > Tiền bồi thường thu được,Tiền bồi thường thu được,6.299.913.765,14.869.945.513,6299913765.0,14869945513.0
"Lãi do thanh lý phế liệu, công cụ và dụng cụ","Thu nhập khác > Lãi do thanh lý phế liệu, công cụ và dụng cụ","Lãi do thanh lý phế liệu, công cụ và dụng cụ",6.538.337.068,9.911.113.490,6538337068.0,9911113490.0
Khác,Thu nhập khác > Khác,Khác,13.857.715.132,18.976.833.376,13857715132.0,18976833376.0
,,,47.104.533.756,51.053.143.467,47104533756.0,51053143467.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Khác,Chi phí khác > Khác,Khác,(6.515.129.358),(1.160.780.453),-6515129358.0,-1160780453.0
Lợi nhuận khác,Chi phí khác > Lợi nhuận khác,Lợi nhuận khác,40.589.404.398,49.892.363.014,40589404398.0,49892363014.0
