row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,551.203.257.346,146.022.559.563,551203257346.0,146022559563.0
Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,30.337.860.555,27.841.803.441,30337860555.0,27841803441.0
Thuế tính ở thuế suất 17%,Thuế tính ở thuế suất 17%,Thuế tính ở thuế suất 17%,(9.552.152.913),(14.860.014.851),-9552152913.0,-14860014851.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,63.855.414.411,(8.996.724.553),63855414411.0,-8996724553.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,29.971.623.054,18.053.891.967,29971623054.0,18053891967.0
Lỗ tính thuế đã được sử dụng,Điều chỉnh: > Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,(91.707.562.410),-,-91707562410.0,
Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,18.148.455.618,148.008.396.409,18148455618.0,148008396409.0
Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Điều chỉnh: > Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,(1.809.542.569),(66.497.320.302),-1809542569.0,-66497320302.0
Ảnh hưởng của thay đổi thuế suất khác nhau áp dụng cho các công ty con,Điều chỉnh: > Ảnh hưởng của thay đổi thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của thay đổi thuế suất khác nhau áp dụng cho các công ty con,8.781.724.385,19.450.181.758,8781724385.0,19450181758.0
Thuế được giảm,Điều chỉnh: > Thuế được giảm,Thuế được giảm,(12.483.048.745),(10.208.807.624),-12483048745.0,-10208807624.0
Dự phòng thiếu của năm trước,Điều chỉnh: > Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,986.509.590,3.168.809.416,986509590.0,3168809416.0
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),36.529.280.976,115.960.215.661,36529280976.0,115960215661.0
Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,83.641.785.140,64.666.147.735,83641785140.0,64666147735.0
Thuế TNDN - hoãn lại (Thuyết minh 20),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại (Thuyết minh 20),Thuế TNDN - hoãn lại (Thuyết minh 20),(47.112.504.164),51.294.067.926,-47112504164.0,51294067926.0
Chi phí thuế TNDN,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Chi phí thuế TNDN,Chi phí thuế TNDN,36.529.280.976,115.960.215.661,36529280976.0,115960215661.0
