row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,1.334.709.958.956,740.825.612.555,1334709958956.0,740825612555.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,868.080.164.955,692.558.304.009,868080164955.0,692558304009.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,273.760.273.456,223.306.684.654,273760273456.0,223306684654.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,200.202.739.909,194.639.564.812,200202739909.0,194639564812.0
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,172.295.710.084,198.367.334.392,172295710084.0,198367334392.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,91.592.844.338,73.165.325.085,91592844338.0,73165325085.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,82.155.176.335,84.859.067.464,82155176335.0,84859067464.0
Chi phí hỗ trợ bán hàng,Chi phí hỗ trợ bán hàng,Chi phí hỗ trợ bán hàng,15.170.913.885,28.834.974.421,15170913885.0,28834974421.0
Khác,Khác,Khác,306.694.482.547,240.307.288.151,306694482547.0,240307288151.0
,,,3.344.662.264.465,2.476.864.155.543,3344662264465.0,2476864155543.0
