row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 10 năm 2023,Nguyên giá > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,234.582.707.708,54.505.436.802,289.088.144.510,234582707708.0,54505436802.0,289088144510.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 11),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 11),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 11),-,15.947.100.200,15.947.100.200,,15947100200.0,15947100200.0
Tại ngày 30 tháng 9 năm 2024,Nguyên giá > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,234.582.707.708,70.452.537.002,305.035.244.710,234582707708.0,70452537002.0,305035244710.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,51.393.614.712,50.755.526.331,102.149.141.043,51393614712.0,50755526331.0,102149141043.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.453.611.701,3.270.927.949,6.724.539.650,3453611701.0,3270927949.0,6724539650.0
Tại ngày 30 tháng 9 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,54.847.226.413,54.026.454.280,108.873.680.693,54847226413.0,54026454280.0,108873680693.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,183.189.092.996,3.749.910.471,186.939.003.467,183189092996.0,3749910471.0,186939003467.0
Tại ngày 30 tháng 9 năm 2024,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,179.735.481.295,16.426.082.722,196.161.564.017,179735481295.0,16426082722.0,196161564017.0
