row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,,
Doanh thu bán hàng hóa,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,20.489.142.408.971,16.311.576.818.615,20489142408971.0,16311576818615.0
Doanh thu bán thành phẩm,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,19.378.177.588.581,15.758.056.666.536,19378177588581.0,15758056666536.0
Doanh thu cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,10.471.999.619,9.713.005.593,10471999619.0,9713005593.0
Doanh thu khác,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu khác,Doanh thu khác,5.012.920.228,4.951.202.312,5012920228.0,4951202312.0
,,,39.882.804.917.399,32.084.297.693.056,39882804917399.0,32084297693056.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(575.807.818.429),(408.620.166.437),-575807818429.0,-408620166437.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(23.548.187.437),(15.531.050.103),-23548187437.0,-15531050103.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(11.555.173.085),(9.485.519.866),-11555173085.0,-9485519866.0
,,,(610.911.178.951),(433.636.736.406),-610911178951.0,-433636736406.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng hóa,20.387.405.329.760,16.271.652.132.889,20387405329760.0,16271652132889.0
Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán thành phẩm,18.869.003.488.841,15.364.359.282.523,18869003488841.0,15364359282523.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,10.471.999.619,9.698.338.926,10471999619.0,9698338926.0
Doanh thu thuần khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần khác,Doanh thu thuần khác,5.012.920.228,4.951.202.312,5012920228.0,4951202312.0
,,,39.271.893.738.448,31.650.660.956.650,39271893738448.0,31650660956650.0
