row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,530.451.510.027,603.535.433.172,530451510027.0,603535433172.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,230.238.617.998,209.907.898.640,230238617998.0,209907898640.0
Chuyển sang TSCĐ hữu hình(Thuyết minh 10(a)),Chuyển sang TSCĐ hữu hình(Thuyết minh 10(a)),Chuyển sang TSCĐ hữu hình(Thuyết minh 10(a)),(55.050.580.483),(177.541.961.915),-55050580483.0,-177541961915.0
Chuyển sang TSCĐ vô hình(Thuyết minh 10(b)),Chuyển sang TSCĐ vô hình(Thuyết minh 10(b)),Chuyển sang TSCĐ vô hình(Thuyết minh 10(b)),(15.947.100.200),-,-15947100200.0,
Chuyển sang chi phí trả trước dài hạn(Thuyết minh 9(b)),Chuyển sang chi phí trả trước dài hạn(Thuyết minh 9(b)),Chuyển sang chi phí trả trước dài hạn(Thuyết minh 9(b)),(24.308.508.113),(59.129.254.111),-24308508113.0,-59129254111.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(1.667.833.565),(4.953.094.165),-1667833565.0,-4953094165.0
Thanh lý,Thanh lý,Thanh lý,(117.277.245),(2.573.439.594),-117277245.0,-2573439594.0
Chuyển sang phải thu ngắn hạn khác,Chuyển sang phải thu ngắn hạn khác,Chuyển sang phải thu ngắn hạn khác,-,(38.794.072.000),,-38794072000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,663.598.828.419,530.451.510.027,663598828419.0,530451510027.0
