row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.229.757.400.799,4.203.454.318.490,55.694.667.907,37.586.082.883,253.880.507,12.526.746.350.586,8229757400799.0,4203454318490.0,55694667907.0,37586082883.0,253880507.0,12526746350586.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.038.322.000,2.725.941.181,1.346.726.000,-,8.110.989.181,,4038322000.0,2725941181.0,1346726000.0,,8110989181.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(5.226.068.986),-,-,(5.226.068.986),,,-5226068986.0,,,-5226068986.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(13.147.529.660),8.064.097.405,5.083.432.255,-,-,,-13147529660.0,8064097405.0,5083432255.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.229.757.400.799,4.194.345.110.830,61.258.637.507,44.016.241.138,253.880.507,12.529.631.270.781,8229757400799.0,4194345110830.0,61258637507.0,44016241138.0,253880507.0,12529631270781.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.195.726.328.897,3.893.506.502.172,39.140.483.143,32.931.609.897,253.880.507,8.161.558.804.616,4195726328897.0,3893506502172.0,39140483143.0,32931609897.0,253880507.0,8161558804616.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,182.482.286.028,113.720.661.067,2.970.081.674,3.927.888.519,-,303.100.917.288,182482286028.0,113720661067.0,2970081674.0,3927888519.0,,303100917288.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(5.226.068.986),-,-,(5.226.068.986),,,-5226068986.0,,,-5226068986.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(13.147.529.660),8.064.097.405,5.083.432.255,-,-,,-13147529660.0,8064097405.0,5083432255.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.378.208.614.925,3.994.079.633.579,44.948.593.236,41.942.930.671,253.880.507,8.459.433.652.918,4378208614925.0,3994079633579.0,44948593236.0,41942930671.0,253880507.0,8459433652918.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.034.031.071.902,309.947.816.318,16.554.184.764,4.654.472.986,-,4.365.187.545.970,4034031071902.0,309947816318.0,16554184764.0,4654472986.0,,4365187545970.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.851.548.785.874,200.265.477.251,16.310.044.271,2.073.310.467,-,4.070.197.617.863,3851548785874.0,200265477251.0,16310044271.0,2073310467.0,,4070197617863.0
