row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,4.224.000.000.000,41.344.567.181,-,29.710.795.559,864.789.430.089,36.302.401.302,5.196.147.194.131,4224000000000.0,41344567181.0,,29710795559.0,864789430089.0,36302401302.0,5196147194131.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,491.793.622.857,3.864.943.351,495.658.566.208,,,,,491793622857.0,3864943351.0,495658566208.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,-,-,(295.680.000.000),-,(295.680.000.000),,,,,-295680000000.0,,-295680000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,26.443.143.479,-,(26.443.143.479),-,-,-,,26443143479.0,,-26443143479.0,,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,17.212.462.896,(17.212.462.896),-,-,,,,17212462896.0,-17212462896.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.747.219.750),-,(18.747.219.750),,,,,-18747219750.0,,-18747219750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),-,-,7.331.138.455,-,-,-,7.331.138.455,,,7331138455.0,,,,7331138455.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.224.000.000.000,67.787.710.660,7.331.138.455,20.480.114.976,1.024.943.370.300,40.167.344.653,5.384.709.679.044,4224000000000.0,67787710660.0,7331138455.0,20480114976.0,1024943370300.0,40167344653.0,5384709679044.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,-,-,-,-,-,6.935.500.000,6.935.500.000,,,,,,6935500000.0,6935500000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,652.461.032.625,6.246.622.316,658.707.654.941,,,,,652461032625.0,6246622316.0,658707654941.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,-,-,(422.400.000.000),(2.967.760.000),(425.367.760.000),,,,,-422400000000.0,-2967760000.0,-425367760000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.084.773.454,-,(7.084.773.454),-,-,-,,7084773454.0,,-7084773454.0,,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,31.056.822.837,(31.056.822.837),-,-,,,,31056822837.0,-31056822837.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.822.225.800),-,(18.822.225.800),,,,,-18822225800.0,,-18822225800.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),-,-,(21.029.241.492),-,-,-,(21.029.241.492),,,-21029241492.0,,,,-21029241492.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,4.224.000.000.000,74.872.484.114,(13.698.103.037),44.452.164.359,1.205.125.354.288,50.381.706.969,5.585.133.606.693,4224000000000.0,74872484114.0,-13698103037.0,44452164359.0,1205125354288.0,50381706969.0,5585133606693.0
