row_label_raw,row_label_full,Vay từ Tập đoàn Điện Lực Việt Nam > Khoản vay 1 (i) > Khoản vay 2 (ii),Tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,Nămđáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2019 > 2021,"Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",31/12/2017VND > Vay từ Tập đoàn Điện Lực Việt Nam > 794.079.153.563 > 117.637.095.531,1/1/2017VND > Vay từ Tập đoàn Điện Lực Việt Nam > 1.602.051.625.184 > 203.941.254.842,numeric__Tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,numeric__Nămđáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2019 > 2021,"numeric__Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",numeric__31/12/2017VND > Vay từ Tập đoàn Điện Lực Việt Nam > 794.079.153.563 > 117.637.095.531,numeric__1/1/2017VND > Vay từ Tập đoàn Điện Lực Việt Nam > 1.602.051.625.184 > 203.941.254.842
Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,,,,,
Khoản vay 1 (iii),Vay từ Công ty Tài Chính Cổ phần Điện Lực > Khoản vay 1 (iii),Khoản vay 1 (iii),JPY,2044,"0,91% - 1,4%",587.629.877.215,264.703.098.928,,2044.0,,587629877215.0,264703098928.0
Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận,,,,,
Khoản vay 1 (iv),Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Ninh Thuận > Khoản vay 1 (iv),Khoản vay 1 (iv),VND,2029,Lãi suất biến đổi,273.535.991.320,290.835.991.320,,2029.0,,273535991320.0,290835991320.0
,,,,,,1.772.882.117.629,2.361.531.970.274,,,,1772882117629.0,2361531970274.0
