row_label_raw,row_label_full,col_0,Khu vựcMiền BắcTriệu VND > 31/12/2020,Khu vựcMiền BắcTriệu VND > 31/12/2019,Khu vựcMiền TrungTriệu VND > 31/12/2020,Khu vựcMiền TrungTriệu VND > 31/12/2019,Khu vựcMiền NamTriệu VND > 31/12/2020,Khu vựcMiền NamTriệu VND > 31/12/2019,Loại trừTriệu VND > 31/12/2020,Loại trừTriệu VND > 31/12/2019,TổngTriệu VND > 31/12/2020,TổngTriệu VND > 31/12/2019,numeric__Khu vựcMiền BắcTriệu VND > 31/12/2020,numeric__Khu vựcMiền BắcTriệu VND > 31/12/2019,numeric__Khu vựcMiền TrungTriệu VND > 31/12/2020,numeric__Khu vựcMiền TrungTriệu VND > 31/12/2019,numeric__Khu vựcMiền NamTriệu VND > 31/12/2020,numeric__Khu vựcMiền NamTriệu VND > 31/12/2019,numeric__Loại trừTriệu VND > 31/12/2020,numeric__Loại trừTriệu VND > 31/12/2019,numeric__TổngTriệu VND > 31/12/2020,numeric__TổngTriệu VND > 31/12/2019
III. Tài sản,III. Tài sản,III. Tài sản,1.959.158,1.421.886,9.426.472,8.702.921,122.929.565,84.562.628,-,-,134.315.195,94.687.435,1959158.0,1421886.0,9426472.0,8702921.0,122929565.0,84562628.0,,,134315195.0,94687435.0
"1. Tiền mặt, vàng","1. Tiền mặt, vàng","1. Tiền mặt, vàng",67.089,101.363,185.910,212.459,732.236,631.848,-,-,985.235,945.670,67089.0,101363.0,185910.0,212459.0,732236.0,631848.0,,,985235.0,945670.0
2. Tiền vàng gửi tại cácTCTD khác,2. Tiền vàng gửi tại cácTCTD khác,2. Tiền vàng gửi tại cácTCTD khác,194,141,1.413,1.161,11.891.936,11.794.352,-,-,11.893.543,11.795.654,194.0,141.0,1413.0,1161.0,11891936.0,11794352.0,,,11893543.0,11795654.0
3. Cho vay khách hàng,3. Cho vay khách hàng,3. Cho vay khách hàng,1.821.394,1.275.310,8.960.142,8.193.419,77.538.735,57.283.258,-,-,88.320.271,66.751.987,1821394.0,1275310.0,8960142.0,8193419.0,77538735.0,57283258.0,,,88320271.0,66751987.0
4. Chứng khoán đầu tư,4. Chứng khoán đầu tư,4. Chứng khoán đầu tư,-,-,10.000,-,20.276.783,7.424.193,-,-,20.286.783,7.424.193,,,10000.0,,20276783.0,7424193.0,,,20286783.0,7424193.0
5. Tài sản cố định,5. Tài sản cố định,5. Tài sản cố định,22.771,10.595,138.184,89.858,840.793,782.124,-,-,1.001.748,882.577,22771.0,10595.0,138184.0,89858.0,840793.0,782124.0,,,1001748.0,882577.0
6. Tài sản khác,6. Tài sản khác,6. Tài sản khác,47.710,34.477,130.823,206.024,11.649.082,6.646.853,-,-,11.827.615,6.887.354,47710.0,34477.0,130823.0,206024.0,11649082.0,6646853.0,,,11827615.0,6887354.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,22.523.305,14.472.083,16.668.779,13.024.650,88.524.341,62.230.317,-,-,127.716.425,89.727.050,22523305.0,14472083.0,16668779.0,13024650.0,88524341.0,62230317.0,,,127716425.0,89727050.0
1. Tiền gửi và vay cácTCTD khác và NHNNVN,1. Tiền gửi và vay cácTCTD khác và NHNNVN,1. Tiền gửi và vay cácTCTD khác và NHNNVN,100,1.000.764,12.782,8.499,19.076.129,10.713.367,-,-,19.089.011,11.722.630,100.0,1000764.0,12782.0,8499.0,19076129.0,10713367.0,,,19089011.0,11722630.0
2. Tiền gửi của khách hàng,2. Tiền gửi của khách hàng,2. Tiền gửi của khách hàng,21.089.480,12.620.021,15.023.060,11.902.377,62.141.491,46.221.814,-,-,98.254.031,70.744.212,21089480.0,12620021.0,15023060.0,11902377.0,62141491.0,46221814.0,,,98254031.0,70744212.0
"3. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","3. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","3. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,472.367,710.001,-,-,472.367,710.001,,,,,472367.0,710001.0,,,472367.0,710001.0
4. Phát hành giấy tờ có giá,4. Phát hành giấy tờ có giá,4. Phát hành giấy tờ có giá,728.533,474.163,1.210.290,781.294,5.018.490,3.156.666,-,-,6.957.313,4.412.123,728533.0,474163.0,1210290.0,781294.0,5018490.0,3156666.0,,,6957313.0,4412123.0
5. Nợ phải trả khác,5. Nợ phải trả khác,5. Nợ phải trả khác,705.192,377.135,422.647,332.480,1.815.864,1.428.469,-,-,2.943.703,2.138.084,705192.0,377135.0,422647.0,332480.0,1815864.0,1428469.0,,,2943703.0,2138084.0
