row_label_raw,row_label_full,col_0,Ảnh hưởng đến lợi nhuận sau thuế Tăng/(giảm)Triệu VND,numeric__Ảnh hưởng đến lợi nhuận sau thuế Tăng/(giảm)Triệu VND
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,
USD (yếu đi 1%),Ngày 31 tháng 12 năm 2020 > USD (yếu đi 1%),USD (yếu đi 1%),(316),-316.0
EUR (mạnh lên 9%),Ngày 31 tháng 12 năm 2020 > EUR (mạnh lên 9%),EUR (mạnh lên 9%),52,52.0
XAU (mạnh lên 31%),Ngày 31 tháng 12 năm 2020 > XAU (mạnh lên 31%),XAU (mạnh lên 31%),347,347.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,
USD (mạnh lên 1%),Ngày 31 tháng 12 năm 2019 > USD (mạnh lên 1%),USD (mạnh lên 1%),2.220,2220.0
EUR (yếu đi 2%),Ngày 31 tháng 12 năm 2019 > EUR (yếu đi 2%),EUR (yếu đi 2%),(29),-29.0
XAU (mạnh lên 17%),Ngày 31 tháng 12 năm 2019 > XAU (mạnh lên 17%),XAU (mạnh lên 17%),201,201.0
