row_label_raw,row_label_full,Năm kết thúc ngày 31/12/2020 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 725,Phát sinh trong năm > Số phải nộpTriệu VND > 9.500,Phát sinh trong năm > Số đã nộpTriệu VND > (8.733),Số dưcuối nămTriệu VND > 1.492,numeric__Số dưđầu nămTriệu VND > 725,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 9.500,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (8.733),numeric__Số dưcuối nămTriệu VND > 1.492
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,70.593,205.822,(151.392),125.023,70593.0,205822.0,-151392.0,125023.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.015,79.797,(77.822),11.990,10015.0,79797.0,-77822.0,11990.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,564,3.715,(3.854),425,564.0,3715.0,-3854.0,425.0
,,,81.897,298.834,(241.801),138.930,81897.0,298834.0,-241801.0,138930.0
Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Năm kết thúc ngày 31/12/2019,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm kết thúc ngày 31/12/2019 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.023,9.298,(9.596),725,1023.0,9298.0,-9596.0,725.0
Thuế thu nhập doanh nghiệp,Năm kết thúc ngày 31/12/2019 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,57.133,192.757,(179.297),70.593,57133.0,192757.0,-179297.0,70593.0
Thuế thu nhập cá nhân,Năm kết thúc ngày 31/12/2019 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.873,83.340,(78.198),10.015,4873.0,83340.0,-78198.0,10015.0
Các loại thuế khác,Năm kết thúc ngày 31/12/2019 > Các loại thuế khác,Các loại thuế khác,79,2.446,(1.961),564,79.0,2446.0,-1961.0,564.0
,,,63.108,287.841,(269.052),81.897,63108.0,287841.0,-269052.0,81897.0
