row_label_raw,row_label_full,col_0,Quyền sử dụngđất và tài s Hisngân lièn với đấtTriệu VND,numeric__Quyền sử dụngđất và tài s Hisngân lièn với đấtTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,57.513,57513.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,29,29.0
Thanh lý,Thanh lý,Thanh lý,(23.606),-23606.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,33.936,33936.0
