row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Nam Silver,Ngân hàng Thương mại Cổ phần Nam Silver_1,Ngân hàng Thương mại Cổ phần Nam Silver_2,Ngân hàng Thương mại Cổ phần Nam Silver_3,Ngân hàng Thương mại Cổ phần Nam Silver_4,Ngân hàng Thương mại Cổ phần Nam Silver_5,Ngân hàng Thương mại Cổ phần Nam Silver_6,numeric__Ngân hàng Thương mại Cổ phần Nam Silver_1,numeric__Ngân hàng Thương mại Cổ phần Nam Silver_2,numeric__Ngân hàng Thương mại Cổ phần Nam Silver_3,numeric__Ngân hàng Thương mại Cổ phần Nam Silver_4,numeric__Ngân hàng Thương mại Cổ phần Nam Silver_5,numeric__Ngân hàng Thương mại Cổ phần Nam Silver_6
"201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3","201 - 203 Cách Mạng Thắng Tám, Phường 4, Quận 3",,,,,,
"Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam","Thành phố Hồ Chí Minh, Việt Nam",,,,,,
Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo),,,,,,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0%-0,8%",(*),(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0%-0,05%",(*),(*),(*),(*),(*),,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0%-4,5%",4%-5%,(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0%-2,2%","2,4%-2,6%",(*),(*),(*),(*),,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,5%-30%,0%-30%,5%-20%,"6,5%-12,95%","6-11,8%",(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"2,33%-5,5%","3,2%-5,6%","3,2%-4,2%",(*),(*),(*),,,,,,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,"6,60%","4,9%-9%","6,4%-8,8%","6,4%","6,1%-10,8%","3,5%-8%",0.066,,,0.064,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,,,,,,,,,,,,
▪ VND,Các khoản nợ Chính phủ và NHNNVN > ▪ VND,▪ VND,"3,50%","3,50%","3,50%","3,50%",(*),(*),0.035,0.035,0.035,0.035,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0%-9,6%",4%-11%,"9%-10,5%","10,5%-10,9%",(*),(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"2,4%-2,6%","0,75%",(*),(*),(*),,,0.0075,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0%-9,2%","4,5%-9,3%","0%-9,4%","6,29-9,4%","5,85%-9,3%","5,4%-7,6%",,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,0%,0%,0%,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,
▪ VND,"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ VND",▪ VND,"5,18%",(*),(*),(*),(*),(*),0.0518,,,,,
▪ Ngoại tệ,"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ Ngoại tệ",▪ Ngoại tệ,(*),"3,56%","4,92%",(*),(*),(*),,0.0356,0.0492,,,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),"7%-7,6%","7,6%-8,8%","8,5%-8,9%","7,5%-9,1%",,,,,,
