row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_6","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_7","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_8","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_9","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_7","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_8","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_9"
,,,Vốn điều lệTriệu VND,Vốn đầu tư XDCB và mua sắmTSCĐTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Vốn khácTriệu VND,Quỹ dự trữ bổ sungvốn điều lệTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Các quỹ khácTriệu VND,Lợi nhuận chưa phân phốiTriệu VND,TổngTriệu VND,,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,3.353.494,10,2.550,25,110.491,215.995,2.828,544.689,4.230.082,3353494.0,10.0,2550.0,25.0,110491.0,215995.0,2828.0,544689.0,4230082.0
Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,10,-,4,-,-,-,-,-,14,10.0,,4.0,,,,,,14.0
Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,536.549,-,-,-,-,-,-,(536.549),-,536549.0,,,,,,,-536549.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,731.789,731.789,,,,,,,,731789.0,731789.0
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,-,35.789,73.989,995,(110.773),-,,,,,35789.0,73989.0,995.0,-110773.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(1.500),(1.500),,,,,,,,-1500.0,-1500.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,3.890.053,10,2.554,25,146.280,289.984,3.823,627.656,4.960.385,3890053.0,10.0,2554.0,25.0,146280.0,289984.0,3823.0,627656.0,4960385.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,3.890.053,10,2.554,25,146.280,289.984,3.823,627.656,4.960.385,3890053.0,10.0,2554.0,25.0,146280.0,289984.0,3823.0,627656.0,4960385.0
Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,674.415,-,176.058,-,-,-,-,-,850.473,674415.0,,176058.0,,,,,,850473.0
Chi phí liên quan trực tiếp đến việc phát hành cổ phiếu,Chi phí liên quan trực tiếp đến việc phát hành cổ phiếu,Chi phí liên quan trực tiếp đến việc phát hành cổ phiếu,-,-,(7.341),-,-,-,-,-,(7.341),,,-7341.0,,,,,,-7341.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,799.664,799.664,,,,,,,,799664.0,799664.0
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,-,39.983,79.967,1.244,(121.194),-,,,,,39983.0,79967.0,1244.0,-121194.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(4.411),(4.411),,,,,,,,-4411.0,-4411.0
Phân loại lại các quỹ,Phân loại lại các quỹ,Phân loại lại các quỹ,-,-,-,-,(370),370,-,-,-,,,,,-370.0,370.0,,,
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,4.564.468,10,171.271,25,185.893,370.321,5.067,1.301.715,6.598.770,4564468.0,10.0,171271.0,25.0,185893.0,370321.0,5067.0,1301715.0,6598770.0
