row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND > 2020,Khu vực Miền Bắc Triệu VND > 2019,Khu vực Miền Trung Triệu VND > 2020,Khu vực Miền Trung Triệu VND > 2019,Khu vực Miền Nam Triệu VND > 2020,Khu vực Miền Nam Triệu VND > 2019,Loại trừ Triệu VND > 2020,Loại trừ Triệu VND > 2019,Tổng Triệu VND > 2020,Tổng Triệu VND > 2019,numeric__Khu vực Miền Bắc Triệu VND > 2020,numeric__Khu vực Miền Bắc Triệu VND > 2019,numeric__Khu vực Miền Trung Triệu VND > 2020,numeric__Khu vực Miền Trung Triệu VND > 2019,numeric__Khu vực Miền Nam Triệu VND > 2020,numeric__Khu vực Miền Nam Triệu VND > 2019,numeric__Loại trừ Triệu VND > 2020,numeric__Loại trừ Triệu VND > 2019,numeric__Tổng Triệu VND > 2020,numeric__Tổng Triệu VND > 2019
I. Doanh thu,I. Doanh thu,I. Doanh thu,1.773.120,1.085.375,2.283.232,1.837.698,20.911.907,16.113.405,(15.168.491),(11.475.329),9.799.768,7.561.149,1773120.0,1085375.0,2283232.0,1837698.0,20911907.0,16113405.0,-15168491.0,-11475329.0,9799768.0,7561149.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,1.763.819,1.080.387,2.258.798,1.811.821,20.223.004,15.703.955,(15.168.491),(11.475.329),9.077.130,7.120.834,1763819.0,1080387.0,2258798.0,1811821.0,20223004.0,15703955.0,-15168491.0,-11475329.0,9077130.0,7120834.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,4.556,2.413,14.067,13.890,191.401,144.206,-,-,210.024,160.509,4556.0,2413.0,14067.0,13890.0,191401.0,144206.0,,,210024.0,160509.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,4.745,2.575,10.367,11.987,497.502,265.244,-,-,512.614,279.806,4745.0,2575.0,10367.0,11987.0,497502.0,265244.0,,,512614.0,279806.0
II. Chi phí,II. Chi phí,II. Chi phí,(1.663.744),(1.010.624),(2.064.667),(1.714.687),(19.676.153),(15.398.763),15.168.491,11.475.329,(8.236.073),(6.648.745),-1663744.0,-1010624.0,-2064667.0,-1714687.0,-19676153.0,-15398763.0,15168491.0,11475329.0,-8236073.0,-6648745.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(1.539.570),(924.301),(1.846.455),(1.537.087),(18.255.651),(13.948.639),15.168.491,11.475.329,(6.473.185),(4.934.698),-1539570.0,-924301.0,-1846455.0,-1537087.0,-18255651.0,-13948639.0,15168491.0,11475329.0,-6473185.0,-4934698.0
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(4.124),(2.952),(10.740),(8.932),(78.131),(63.162),-,-,(92.995),(75.046),-4124.0,-2952.0,-10740.0,-8932.0,-78131.0,-63162.0,,,-92995.0,-75046.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(120.050),(83.371),(207.472),(168.668),(1.342.371),(1.386.962),-,-,(1.669.893),(1.639.001),-120050.0,-83371.0,-207472.0,-168668.0,-1342371.0,-1386962.0,,,-1669893.0,-1639001.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,109.376,74.751,218.565,123.011,1.235.754,714.642,-,-,1.563.695,912.404,109376.0,74751.0,218565.0,123011.0,1235754.0,714642.0,,,1563695.0,912404.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(5.372),(11.072),(2.514),48.308,(550.323),(25.094),-,-,(558.209),12.142,-5372.0,-11072.0,-2514.0,48308.0,-550323.0,-25094.0,,,-558209.0,12142.0
Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,104.004,63.679,216.051,171.319,685.431,689.548,-,-,1.005.486,924.546,104004.0,63679.0,216051.0,171319.0,685431.0,689548.0,,,1005486.0,924546.0
