row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tàiTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sảncó định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tàiTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sảncó định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.041,228.571,138.235,33.242,13.923,810.012,396041.0,228571.0,138235.0,33242.0,13923.0,810012.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,12.490,743,478,246,13.957,,12490.0,743.0,478.0,246.0,13957.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,26.916,63.128,21.274,1.253,553,113.124,26916.0,63128.0,21274.0,1253.0,553.0,113124.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.499),(12.368),(317),(316),(16.500),,-3499.0,-12368.0,-317.0,-316.0,-16500.0
Chuyển từ tài sản cố định thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,26.876,-,-,26.876,,,26876.0,,,26876.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,422.957,300.690,174.760,34.656,14.406,947.469,422957.0,300690.0,174760.0,34656.0,14406.0,947469.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,113.064,144.408,67.496,25.544,10.136,360.648,113064.0,144408.0,67496.0,25544.0,10136.0,360648.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.833,25.615,19.811,2.524,1.466,64.249,14833.0,25615.0,19811.0,2524.0,1466.0,64249.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(3.497),(12.335),(317),(316),(16.465),,-3497.0,-12335.0,-317.0,-316.0,-16465.0
Chuyển từ tài sản cố định thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,22.820,-,-,22.820,,,22820.0,,,22820.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,127.897,166.526,97.792,27.751,11.286,431.252,127897.0,166526.0,97792.0,27751.0,11286.0,431252.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,282.977,84.163,70.739,7.698,3.787,449.364,282977.0,84163.0,70739.0,7698.0,3787.0,449364.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,295.060,134.164,76.968,6.905,3.120,516.217,295060.0,134164.0,76968.0,6905.0,3120.0,516217.0
