row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,Phương tiện vận tải vàthiết bị truyền dẫn,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiện vận tải vàthiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 15/01/2015,NGUYÊN GIÁ > Tại ngày 15/01/2015,Tại ngày 15/01/2015,3.152.236.508.350,10.253.419.418.770,42.489.649.611,38.205.712.488,58.688.591.244,13.545.039.880.463,3152236508350.0,10253419418770.0,42489649611.0,38205712488.0,58688591244.0,13545039880463.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,54.962.481.712,4.391.386.356,-,(156.459.655),-,59.197.408.413,54962481712.0,4391386356.0,,-156459655.0,,59197408413.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,35.453.678.928,14.567.030.936,10.910.514.773,15.020.367.977,-,75.951.592.614,35453678928.0,14567030936.0,10910514773.0,15020367977.0,,75951592614.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(2.122.745.258),-,(2.122.745.258),,,,-2122745258.0,,-2122745258.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.242.652.668.990,10.272.377.836.062,53.400.164.384,50.946.875.552,58.688.591.244,13.678.066.136.232,3242652668990.0,10272377836062.0,53400164384.0,50946875552.0,58688591244.0,13678066136232.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 15/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 15/01/2015,Tại ngày 15/01/2015,773.184.380.465,1.864.144.252.026,17.107.115.437,14.104.480.971,15.186.649.077,2.683.726.877.976,773184380465.0,1864144252026.0,17107115437.0,14104480971.0,15186649077.0,2683726877976.0
Trích khấu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong kỳ,Trích khấu hao trong kỳ,279.945.591.602,916.898.801.872,8.953.449.488,9.951.715.635,572.111.044,1.216.321.669.641,279945591602.0,916898801872.0,8953449488.0,9951715635.0,572111044.0,1216321669641.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(2.122.745.258),-,(2.122.745.258),,,,-2122745258.0,,-2122745258.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.053.129.972.067,2.781.043.053.898,26.060.564.925,21.933.451.348,15.758.760.121,3.897.925.802.359,1053129972067.0,2781043053898.0,26060564925.0,21933451348.0,15758760121.0,3897925802359.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.189.522.696.923,7.491.334.782.164,27.339.599.459,29.013.424.204,42.929.831.123,9.780.140.333.873,2189522696923.0,7491334782164.0,27339599459.0,29013424204.0,42929831123.0,9780140333873.0
Tại ngày 15/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 15/01/2015,Tại ngày 15/01/2015,2.379.052.127.885,8.389.275.166.744,25.382.534.174,24.101.231.517,43.501.942.167,10.861.313.002.487,2379052127885.0,8389275166744.0,25382534174.0,24101231517.0,43501942167.0,10861313002487.0
