row_label_raw,row_label_full,31/12/2015,Dưới 1 năm > VND,Từ 1-5 năm > VND,Sau 5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1-5 năm > VND,numeric__Sau 5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.215.079.331.489,-,-,1.215.079.331.489,1215079331489.0,,,1215079331489.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,2.702.555.555.556,-,-,2.702.555.555.556,2702555555556.0,,,2702555555556.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,64.865.728.822,3.000.000,-,64.868.728.822,64865728822.0,3000000.0,,64868728822.0
Tổng cộng,Tổng cộng,Tổng cộng,3.982.500.615.867,3.000.000,-,3.982.503.615.867,3982500615867.0,3000000.0,,3982503615867.0
31/12/2015,31/12/2015,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
31/12/2015,31/12/2015,31/12/2015,VND,VND,VND,VND,,,,
Các khoản vay,31/12/2015 > Các khoản vay,Các khoản vay,1.319.172.808.870,4.272.707.866.041,1.480.380.000.001,7.072.260.674.912,1319172808870.0,4272707866041.0,1480380000001.0,7072260674912.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,502.380.441.689,33.175.238.300,-,535.555.679.989,502380441689.0,33175238300.0,,535555679989.0
Chỉ phí phải trả,31/12/2015 > Chỉ phí phải trả,Chỉ phí phải trả,342.691.984.116,-,-,342.691.984.116,342691984116.0,,,342691984116.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,2.164.245.234.675,4.305.883.104.341,1.480.380.000.001,7.950.508.339.017,2164245234675.0,4305883104341.0,1480380000001.0,7950508339017.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.818.255.381.192,(4.305.880.104.341),(1.480.380.000.001),(3.968.004.723.150),1818255381192.0,-4305880104341.0,-1480380000001.0,-3968004723150.0
14/01/2015,14/01/2015,14/01/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
14/01/2015,14/01/2015,14/01/2015,VND,VND,VND,VND,,,,
Tiền và các khoản tương đương tiền,14/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.063.705.227.684,-,-,2.063.705.227.684,2063705227684.0,,,2063705227684.0
Đầu tư tài chính ngắn hạn,14/01/2015 > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,3.166.281.483.374,-,-,3.166.281.483.374,3166281483374.0,,,3166281483374.0
Phải thu khách hàng và phải thu khác,14/01/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,52.099.108.495,3.000.000,-,52.102.108.495,52099108495.0,3000000.0,,52102108495.0
Tổng cộng,14/01/2015 > Tổng cộng,Tổng cộng,5.282.085.819.553,3.000.000,-,5.282.088.819.553,5282085819553.0,3000000.0,,5282088819553.0
14/01/2015,14/01/2015,14/01/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
14/01/2015,14/01/2015,14/01/2015,VND,VND,VND,VND,,,,
Các khoản vay,14/01/2015 > Các khoản vay,Các khoản vay,1.250.085.019.739,4.363.173.870.296,2.327.396.512.683,7.940.655.402.718,1250085019739.0,4363173870296.0,2327396512683.0,7940655402718.0
Phải trả người bán và phải trả khác,14/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,2.417.782.992.825,33.175.238.300,-,2.450.958.231.125,2417782992825.0,33175238300.0,,2450958231125.0
Chỉ phí phải trả,14/01/2015 > Chỉ phí phải trả,Chỉ phí phải trả,320.291.049.130,-,-,320.291.049.130,320291049130.0,,,320291049130.0
Tổng cộng,14/01/2015 > Tổng cộng,Tổng cộng,3.988.159.061.694,4.396.349.108.596,2.327.396.512.683,10.711.904.682.973,3988159061694.0,4396349108596.0,2327396512683.0,10711904682973.0
Chênh lệch thanh khoản thuần,14/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.293.926.757.859,(4.396.346.108.596),(2.327.396.512.683),(5.429.815.863.420),1293926757859.0,-4396346108596.0,-2327396512683.0,-5429815863420.0
