row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ Đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ Đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư tại ngày 14/01/2015,Số dư tại ngày 14/01/2015,Số dư tại ngày 14/01/2015,5.294.000.000.000,287.032.617.231,6.713.350.648,22.870.897.075,5.610.616.864.954,5294000000000.0,287032617231.0,6713350648.0,22870897075.0,5610616864954.0
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,708.078.630.765,4.381.549.447,712.460.180.212,,,708078630765.0,4381549447.0,712460180212.0
Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),-,85.605.247.988,(85.605.247.988),-,-,,85605247988.0,-85605247988.0,,
Trích Quỹ Khen thưởng phúc lợi (i),Trích Quỹ Khen thưởng phúc lợi (i),Trích Quỹ Khen thưởng phúc lợi (i),-,-,(85.773.133.714),(913.331.832),(86.686.465.546),,,-85773133714.0,-913331832.0,-86686465546.0
Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,-,-,-,(3.197.800.000),(3.197.800.000),,,,-3197800000.0,-3197800000.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,5.294.000.000.000,372.637.865.219,543.413.599.711,23.141.314.690,6.233.192.779.620,5294000000000.0,372637865219.0,543413599711.0,23141314690.0,6233192779620.0
