row_label_raw,row_label_full,col_0,Số tiềnVND,numeric__Số tiềnVND
Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,32.650.000.000,32650000000.0
Trong đó:,Trong đó:,Trong đó:,,
Vốn góp của Công ty,Trong đó: > Vốn góp của Công ty,Vốn góp của Công ty,16.661.000.000,16661000000.0
Vốn góp của cổ đông không kiểm soát,Trong đó: > Vốn góp của cổ đông không kiểm soát,Vốn góp của cổ đông không kiểm soát,15.989.000.000,15989000000.0
Tỷ lệ lợi ích của cổ đông không kiểm soát,Trong đó: > Tỷ lệ lợi ích của cổ đông không kiểm soát,Tỷ lệ lợi ích của cổ đông không kiểm soát,"48,97%",0.48969999999999997
