row_label_raw,row_label_full,Chi phí bán hàng phát sinh trong năm,Từ ngày 15/01/2015đến ngày 31/12/2015VND > Chi phí bán hàng phát sinh trong năm,Từ ngày 01/01/2014đến ngày 14/01/2015VND > Chi phí bán hàng phát sinh trong năm,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015VND > Chi phí bán hàng phát sinh trong năm,numeric__Từ ngày 01/01/2014đến ngày 14/01/2015VND > Chi phí bán hàng phát sinh trong năm
"Chi phí vận chuyển, bốc xếp lưu kho","Chi phí vận chuyển, bốc xếp lưu kho","Chi phí vận chuyển, bốc xếp lưu kho",79.480.193.743,66.899.630.136,79480193743.0,66899630136.0
Chi phí an sinh xã hội,Chi phí an sinh xã hội,Chi phí an sinh xã hội,75.270.924.800,41.667.287.298,75270924800.0,41667287298.0
"Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",75.917.878.358,17.604.092.638,75917878358.0,17604092638.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,45.773.820.161,65.834.805.967,45773820161.0,65834805967.0
,,,276.442.817.062,192.005.816.039,276442817062.0,192005816039.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,52.644.520.000,46.714.844.339,52644520000.0,46714844339.0
Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Chi phí quản lý doanh nghiệp phát sinh trong năm > Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,26.308.033.440,28.277.928.694,26308033440.0,28277928694.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,15.090.800.214,5.931.743.900,15090800214.0,5931743900.0
Trích Quỹ phát triển khoa học và công nghệ,Chi phí quản lý doanh nghiệp phát sinh trong năm > Trích Quỹ phát triển khoa học và công nghệ,Trích Quỹ phát triển khoa học và công nghệ,-,16.120.000.000,,16120000000.0
Lợi thế kinh doanh,Chi phí quản lý doanh nghiệp phát sinh trong năm > Lợi thế kinh doanh,Lợi thế kinh doanh,43.925.928.545,-,43925928545.0,
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,67.408.004.184,69.898.962.279,67408004184.0,69898962279.0
,,,205.377.286.383,166.943.479.212,205377286383.0,166943479212.0
