row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Từ ngày 15/01/2015đến ngày 31/12/2015,Từ ngày 01/01/2014đến ngày 14/01/2015,numeric__Mã số,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Từ ngày 01/01/2014đến ngày 14/01/2015
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,102.527.500,-,16.0,102527500.0,
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(65.195.567.014),(83.617.108.588),17.0,-65195567014.0,-83617108588.0
Chuyển tiền bán cổ phần về Tập đoàn,2. Điều chỉnh cho các khoản: > Chuyển tiền bán cổ phần về Tập đoàn,Chuyển tiền bán cổ phần về Tập đoàn,,(1.581.808.975.597),-,,-1581808975597.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,321.308.965.368,4.488.141.508.277,20.0,321308965368.0,4488141508277.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(157.724.934.512),(90.668.191.835),21.0,-157724934512.0,-90668191835.0
"2. Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,354.577.637,-,22.0,354577637.0,
"3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(3.963.556.166.262),(3.166.281.483.374),23.0,-3963556166262.0,-3166281483374.0
"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,4.427.282.094.080,-,24.0,4427282094080.0,
"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,164.044.760.321,141.957.783.512,27.0,164044760321.0,141957783512.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,470.400.331.264,(3.114.991.891.697),30.0,470400331264.0,-3114991891697.0
