row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Từ ngày 15/01/2015 đến ngày 31/12/2015,Từ ngày 01/01/2014 đến ngày 14/01/2015,numeric__Mã số,numeric__Thuyết minh,numeric__Từ ngày 15/01/2015 đến ngày 31/12/2015,numeric__Từ ngày 01/01/2014 đến ngày 14/01/2015
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,25,5.669.707.612.058,6.444.388.819.130,1.0,25.0,5669707612058.0,6444388819130.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,25,87.468.200.037,73.882.279.558,2.0,25.0,87468200037.0,73882279558.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.582.239.412.021,6.370.506.539.572,10.0,,5582239412021.0,6370506539572.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,26,3.950.628.153.058,4.734.316.733.544,11.0,26.0,3950628153058.0,4734316733544.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.631.611.258.963,1.636.189.806.028,20.0,,1631611258963.0,1636189806028.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,28,226.410.038.132,187.098.455.532,21.0,28.0,226410038132.0,187098455532.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,29,663.674.008.733,462.867.233.686,22.0,29.0,663674008733.0,462867233686.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,232.444.268.230,337.658.323.028,23.0,,232444268230.0,337658323028.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,30,276.442.817.062,192.005.816.039,25.0,30.0,276442817062.0,192005816039.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,30,205.377.286.383,166.943.479.212,26.0,30.0,205377286383.0,166943479212.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,712.527.184.917,1.001.471.732.623,30.0,,712527184917.0,1001471732623.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,6.845.641.304,1.399.380.270,31.0,,6845641304.0,1399380270.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,4.574.358.241,2.328.044.997,32.0,,4574358241.0,2328044997.0
13. Lợi nhuận/(Lỗ) khác (40=31-32),13. Lợi nhuận/(Lỗ) khác (40=31-32),13. Lợi nhuận/(Lỗ) khác (40=31-32),40,,2.271.283.063,(928.664.727),40.0,,2271283063.0,-928664727.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,714.798.467.980,1.000.543.067.896,50.0,,714798467980.0,1000543067896.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,31,2.338.287.768,36.393.484.504,51.0,31.0,2338287768.0,36393484504.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,712.460.180.212,964.149.583.392,60.0,,712460180212.0,964149583392.0
16.1. Lợi nhuận sau thuế của Công ty mẹ,16.1. Lợi nhuận sau thuế của Công ty mẹ,16.1. Lợi nhuận sau thuế của Công ty mẹ,61,,708.078.630.765,962.219.375.505,61.0,,708078630765.0,962219375505.0
16.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,16.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,16.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,4.381.549.447,1.930.207.887,62.0,,4381549447.0,1930207887.0
