row_label_raw,row_label_full,col_0,Giá trị ghi sô > 31/12/2015VND,Giá trị ghi sô > 14/01/2015VND,numeric__Giá trị ghi sô > 31/12/2015VND,numeric__Giá trị ghi sô > 14/01/2015VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.215.079.331.489,2.063.705.227.684,1215079331489.0,2063705227684.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,2.702.555.555.556,3.166.281.483.374,2702555555556.0,3166281483374.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,64.868.728.822,52.102.108.495,64868728822.0,52102108495.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.982.503.615.867,5.282.088.819.553,3982503615867.0,5282088819553.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,7.072.260.674.912,7.940.655.402.718,7072260674912.0,7940655402718.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,535.555.679.989,2.450.958.231.125,535555679989.0,2450958231125.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,342.691.984.116,320.291.049.130,342691984116.0,320291049130.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,7.950.508.339.017,10.711.904.682.973,7950508339017.0,10711904682973.0
