row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Từ ngày 15/01/2015đến ngày 31/12/2015,Từ ngày 01/01/2014đến ngày 14/01/2015,numeric__Mã số,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Từ ngày 01/01/2014đến ngày 14/01/2015
III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp củachủ sở hữu","III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp củachủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp củachủ sở hữu",31,-,921.959.846.545,31.0,,921959846545.0
2. Tiền thu từ đi vay,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,13.662.715.542,300.000.000.000,33.0,13662715542.0,300000000000.0
3. Tiền trả nợ gốc vay,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(1.263.747.735.281),(2.430.431.154.806),34.0,-1263747735281.0,-2430431154806.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(390.233.293.375),(453.867.056.180),36.0,-390233293375.0,-453867056180.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.640.318.313.114),(1.662.338.364.441),40.0,-1640318313114.0,-1662338364441.0
Lưu chuyển tiền thuần trong kỳ (50=20+30+40),III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong kỳ (50=20+30+40),Lưu chuyển tiền thuần trong kỳ (50=20+30+40),50,(848.609.016.482),(289.188.747.861),50.0,-848609016482.0,-289188747861.0
Tiền và tương đương tiền đầu kỳ,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,2.063.705.227.684,2.352.893.975.545,60.0,2063705227684.0,2352893975545.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(16.879.713),-,61.0,-16879713.0,
Tiền và tương đương tiền cuối kỳ (70=50+60+61),III. LƯỢU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ (70=50+60+61),Tiền và tương đương tiền cuối kỳ (70=50+60+61),70,1.215.079.331.489,2.063.705.227.684,70.0,1215079331489.0,2063705227684.0
