row_label_raw,row_label_full,Chỉ tiêu,14/01/2015,Phát sinh trong kỳ > Số phải nộp,Phát sinh trong kỳ > Số đã nộp,31/12/2015,numeric__14/01/2015,numeric__Phát sinh trong kỳ > Số phải nộp,numeric__Phát sinh trong kỳ > Số đã nộp,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,180.379.995,180.379.995,-,-,180379995.0,180379995.0,,
Tiền thuê đất,a) Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,-,-,397.346.605,397.346.605,,,397346605.0,397346605.0
Các khoản phải thu khác,a) Các khoản phải thu > Các khoản phải thu khác,Các khoản phải thu khác,-,328.814.920,369.796.798,40.981.878,,328814920.0,369796798.0,40981878.0
"Các khoản phí, lệ phí","a) Các khoản phải thu > Các khoản phí, lệ phí","Các khoản phí, lệ phí",-,328.814.920,369.796.798,40.981.878,,328814920.0,369796798.0,40981878.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,180.379.995,509.194.915,767.143.403,438.328.483,180379995.0,509194915.0,767143403.0,438328483.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giả trị gia tăng,b) Các khoản phải trả > Thuế giả trị gia tăng,Thuế giả trị gia tăng,-,6.295.275.806,5.820.036.587,475.239.219,,6295275806.0,5820036587.0,475239219.0
Thuế nhập khẩu,b) Các khoản phải trả > Thuế nhập khẩu,Thuế nhập khẩu,-,986.850.592,986.850.592,-,,986850592.0,986850592.0,
Thuế thu nhập doanh nghiệp (*),b) Các khoản phải trả > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),32.914.002.522,2.157.907.773,33.716.530.306,1.355.379.989,32914002522.0,2157907773.0,33716530306.0,1355379989.0
Thuế tài nguyên,b) Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,91.601.280,992.839.680,992.839.680,91.601.280,91601280.0,992839680.0,992839680.0,91601280.0
Tiền thuê đất,b) Các khoản phải trả > Tiền thuê đất,Tiền thuê đất,-,61.920.420,61.920.420,-,,61920420.0,61920420.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,2.878.331.548,16.662.516.642,15.143.722.841,4.397.125.349,2878331548.0,16662516642.0,15143722841.0,4397125349.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.878.331.548,16.018.416.036,14.628.748.391,4.267.999.193,2878331548.0,16018416036.0,14628748391.0,4267999193.0
Thuế khác,b) Các khoản phải trả > Thuế khác,Thuế khác,-,644.100.606,514.974.450,129.126.156,,644100606.0,514974450.0,129126156.0
Cộng,b) Các khoản phải trả > Cộng,Cộng,35.883.935.350,27.157.310.913,56.721.900.426,6.319.345.837,35883935350.0,27157310913.0,56721900426.0,6319345837.0
