row_label_raw,row_label_full,NÔI DUNG,TRANG,numeric__TRANG
BÁO CẢO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CẢO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CẢO CỦA BAN TỔNG GIÁM ĐỐC,1,1.0
BÁO CẢO KIỂM TOÁN ĐỘC LẬP,BÁO CẢO KIỂM TOÁN ĐỘC LẬP,BÁO CẢO KIỂM TOÁN ĐỘC LẬP,2 - 3,
BẢNG CẦN ĐỐI KÊ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KÊ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KÊ TOÁN HỢP NHẤT,4 - 5,
BÁO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢNG CẦN ĐỐI KÊ TOÁN HỢP NHẤT > BÁO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,6,6.0
BÁO CẢO LUU CHUYỀN TIẾN TỆ HỢP NHẤT,BÁO CẢO LUU CHUYỀN TIẾN TỆ HỢP NHẤT,BÁO CẢO LUU CHUYỀN TIẾN TỆ HỢP NHẤT,7 - 8,
THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT,9 - 41,
