row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,14/01/2015,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__14/01/2015
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.431.356.579.753,5.525.795.137.984,100.0,,4431356579753.0,5525795137984.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,1.215.079.331.489,2.063.705.227.684,110.0,5.0,1215079331489.0,2063705227684.0
1. Tiền,1. Tiền,1. Tiền,111,,183.079.331.489,2.007.636.718.606,111.0,,183079331489.0,2007636718606.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.032.000.000.000,56.068.509.078,112.0,,1032000000000.0,56068509078.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,2.702.555.555.556,3.166.281.483.374,120.0,,2702555555556.0,3166281483374.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,2.702.555.555.556,3.166.281.483.374,123.0,6.0,2702555555556.0,3166281483374.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,79.842.093.989,66.374.358.052,130.0,,79842093989.0,66374358052.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,7.261.327.710,1.087.367.235,131.0,7.0,7261327710.0,1087367235.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,8,14.976.365.167,14.275.249.557,132.0,8.0,14976365167.0,14275249557.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,57.604.401.112,51.011.741.260,136.0,9.0,57604401112.0,51011741260.0
