row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2022 VND,Năm 2021 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2022 VND,numeric__Năm 2021 VND
Các giao dịch bán hàng,Các giao dịch bán hàng,Các giao dịch bán hàng,,,58.284.864.521,65.506.866.597,,,58284864521.0,65506866597.0
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,Bán hàng,8.928.571,621.929.563,,,8928571.0,621929563.0
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,Bán hàng,802.177.500,39.511.027.050,,,802177500.0,39511027050.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Bán hàng,23.138.880.550,-,,,23138880550.0,
Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty con,Bán hàng,52.457.500,1.229.539.027,,,52457500.0,1229539027.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty con,Bán hàng,106.779.000,9.783.755.137,,,106779000.0,9783755137.0
Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty con,Bán hàng,8.002.945.000,14.358.684.000,,,8002945000.0,14358684000.0
Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty con,Bán hàng,12.325.000,1.931.820,,,12325000.0,1931820.0
Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty liên kết,Bán hàng,26.160.371.400,-,,,26160371400.0,
Các giao dịch mua hàng,Các giao dịch mua hàng,Các giao dịch mua hàng,,,81.763.934.172,19.031.632.457,,,81763934172.0,19031632457.0
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,Mua hàng,1.832.783.155,4.152.369.682,,,1832783155.0,4152369682.0
Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty con,Mua hàng,8.809.425.250,14.879.262.775,,,8809425250.0,14879262775.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Mua hàng,59.905.645.620,-,,,59905645620.0,
Công ty CP LT Bình Định,Công ty CP LT Bình Định,Công ty CP LT Bình Định,Công ty con,Mua hàng,6.113.525.000,-,,,6113525000.0,
CTCP XNK NSTP An Giang,CTCP XNK NSTP An Giang,CTCP XNK NSTP An Giang,Công ty con,Mua hàng,3.980.244.200,-,,,3980244200.0,
Công ty CP Lương thực TP. HCM,Công ty CP Lương thực TP. HCM,Công ty CP Lương thực TP. HCM,Công ty con,Mua hàng,1.115.140.700,-,,,1115140700.0,
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty con,Mua hàng,7.170.247,-,,,7170247.0,
Cổ tức,Cổ tức,Cổ tức,,,52.360.691.400,48.650.496.960,,,52360691400.0,48650496960.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Cổ tức,9.278.942.400,17.583.384.000,,,9278942400.0,17583384000.0
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,Cổ tức,22.950.000.000,6.936.000.000,,,22950000000.0,6936000000.0
Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty con,Cổ tức,4.656.096.000,4.526.691.960,,,4656096000.0,4526691960.0
Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty con,Cổ tức,15.475.653.000,15.475.653.000,,,15475653000.0,15475653000.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,Cổ tức,-,4.128.768.000,,,,4128768000.0
