row_label_raw,row_label_full,col_0,01/01/2022,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__01/01/2022,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,1.554.491.967,64.322.346.579,62.085.946.742,3.790.891.804,1554491967.0,64322346579.0,62085946742.0,3790891804.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.504.227.351,35.237.801.704,34.527.834.881,2.214.194.174,1504227351.0,35237801704.0,34527834881.0,2214194174.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,18.956.736,655.641.432,647.212.227,27.385.941,18956736.0,655641432.0,647212227.0,27385941.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,27.284.880,391.021.175,396.826.055,21.480.000,27284880.0,391021175.0,396826055.0,21480000.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,4.023.000,203.963.824,204.764.824,3.222.000,4023000.0,203963824.0,204764824.0,3222000.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,26.651.564.305,25.126.954.616,1.524.609.689,,26651564305.0,25126954616.0,1524609689.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,1.182.354.139,1.182.354.139,-,,1182354139.0,1182354139.0,
,,,01/01/2022,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2022,,,,
b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,4.318.295.111,4.687.832.928,4.365.435.375,3.995.897.558,4318295111.0,4687832928.0,4365435375.0,3995897558.0
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,100.357.843,100.357.843,-,-,100357843.0,100357843.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.656.772.447,-,-,3.656.772.447,3656772447.0,,,3656772447.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,123.220.273,113.557.803,89.069.805,98.732.275,123220273.0,113557803.0,89069805.0,98732275.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",437.050.376,4.471.809.122,4.275.089.430,240.330.684,437050376.0,4471809122.0,4275089430.0,240330684.0
Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,894.172,2.108.160,1.276.140,62.152,894172.0,2108160.0,1276140.0,62152.0
