row_label_raw,row_label_full,a. Vay,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Đơn vi tính: VND > Giá trị,Đơn vi tính: VND > Số có khả năng trả nợ,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Đơn vi tính: VND > Giá trị,numeric__Đơn vi tính: VND > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.691.611.976.423,1.691.611.976.423,4.866.465.129.085,4.254.844.920.572,1.079.991.767.910,1.079.991.767.910,1691611976423.0,1691611976423.0,4866465129085.0,4254844920572.0,1079991767910.0,1079991767910.0
Ngân hàng TMCP Quân đội - Chi nhánh Sài Gòn (1),Ngân hàng TMCP Quân đội - Chi nhánh Sài Gòn (1),Ngân hàng TMCP Quân đội - Chi nhánh Sài Gòn (1),,,,,,,,,,,,
- USD,Ngân hàng TMCP Quân đội - Chi nhánh Sài Gòn (1) > - USD,- USD,450.000.000.000,450.000.000.000,879.769.989.525,878.804.961.845,449.034.972.320,449.034.972.320,450000000000.0,450000000000.0,879769989525.0,878804961845.0,449034972320.0,449034972320.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh (2),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh (2),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh (2),,,,,,,,,,,,
- VND,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh (2) > - VND,- VND,312.406.144.850,312.406.144.850,677.936.751.800,367.020.606.950,1.490.000.000,1.490.000.000,312406144850.0,312406144850.0,677936751800.0,367020606950.0,1490000000.0,1490000000.0
- USD,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh (2) > - USD,- USD,51.536.708.639,51.536.708.639,341.423.441.305,478.675.495.564,188.788.762.898,188.788.762.898,51536708639.0,51536708639.0,341423441305.0,478675495564.0,188788762898.0,188788762898.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),,,,,,-,,,,,,
- VND,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3) > - VND,- VND,121.868.018.316,121.868.018.316,539.695.605.122,769.605.177.607,351.777.590.801,351.777.590.801,121868018316.0,121868018316.0,539695605122.0,769605177607.0,351777590801.0,351777590801.0
- USD,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3) > - USD,- USD,51.649.749.556,51.649.749.556,466.030.901.420,434.605.434.846,20.224.282.982,20.224.282.982,51649749556.0,51649749556.0,466030901420.0,434605434846.0,20224282982.0,20224282982.0
Ngân hàng TMCP Hàng hải Việt Nam - Chi nhánh TP. Hồ Chí Minh (4),Ngân hàng TMCP Hàng hải Việt Nam - Chi nhánh TP. Hồ Chí Minh (4),Ngân hàng TMCP Hàng hải Việt Nam - Chi nhánh TP. Hồ Chí Minh (4),,,,,,,,,,,,
- VND,Ngân hàng TMCP Hàng hải Việt Nam - Chi nhánh TP. Hồ Chí Minh (4) > - VND,- VND,326.668.375.000,326.668.375.000,461.598.275.000,134.929.900.000,-,-,326668375000.0,326668375000.0,461598275000.0,134929900000.0,,
- USD,Ngân hàng TMCP Hàng hải Việt Nam - Chi nhánh TP. Hồ Chí Minh (4) > - USD,- USD,22.967.744.514,22.967.744.514,522.988.052.620,500.020.308.106,-,-,22967744514.0,22967744514.0,522988052620.0,500020308106.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5),,,,,,,,,,,,
- VND,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5) > - VND,- VND,34.882.541.645,34.882.541.645,399.506.463.452,364.623.921.807,-,-,34882541645.0,34882541645.0,399506463452.0,364623921807.0,,
- USD,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5) > - USD,- USD,249.829.620.403,249.829.620.403,357.444.532.341,107.614.911.938,-,-,249829620403.0,249829620403.0,357444532341.0,107614911938.0,,
Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh Tiền Giang (VND) (6),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5) > Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh Tiền Giang (VND) (6),Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh Tiền Giang (VND) (6),29.979.283.500,29.979.283.500,59.532.063.500,29.552.780.000,-,-,29979283500.0,29979283500.0,59532063500.0,29552780000.0,,
Ngân hàng TNHH MTV Public Việt Nam (VND) (7),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Sài Gòn (5) > Ngân hàng TNHH MTV Public Việt Nam (VND) (7),Ngân hàng TNHH MTV Public Việt Nam (VND) (7),38.053.890.000,38.053.890.000,158.769.153.000,187.441.563.000,66.726.300.000,66.726.300.000,38053890000.0,38053890000.0,158769153000.0,187441563000.0,66726300000.0,66726300000.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,,,,,,,,,,,,
Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang,Nợ dài hạn đến hạn trả > Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang,Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang,860.000.000,860.000.000,860.000.000,860.000.000,860.000.000,860.000.000,860000000.0,860000000.0,860000000.0,860000000.0,860000000.0,860000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0
Ngân hàng TMCP An Bình,Nợ dài hạn đến hạn trả > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,-,-,-,179.958.909,179.958.909,179.958.909,,,,179958909.0,179958909.0,179958909.0
Vay dài hạn,Nợ dài hạn đến hạn trả > Vay dài hạn,Vay dài hạn,4.449.700.000,4.449.700.000,-,1.769.900.000,6.219.600.000,6.219.600.000,4449700000.0,4449700000.0,,1769900000.0,6219600000.0,6219600000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,2.729.700.000,2.729.700.000,-,909.900.000,3.639.600.000,3.639.600.000,2729700000.0,2729700000.0,,909900000.0,3639600000.0,3639600000.0
