row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Đơn vị tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhữu hình khác,numeric__Đơn vị tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,2.422.849.219.863,1.703.653.149.575,146.749.244.541,41.159.514.444,11.033.724.411,4.325.444.852.834,2422849219863.0,1703653149575.0,146749244541.0,41159514444.0,11033724411.0,4325444852834.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,892.820.442,756.822.618,37.374.393,335.343.265,-,2.022.360.718,892820442.0,756822618.0,37374393.0,335343265.0,,2022360718.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,181.000.000,756.822.618,37.374.393,175.227.273,-,1.150.424.284,181000000.0,756822618.0,37374393.0,175227273.0,,1150424284.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,711.820.442,-,-,160.115.992,-,871.936.434,711820442.0,,,160115992.0,,871936434.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,8.346.353.365,30.343.283.286,10.349.122.849,-,-,49.038.759.500,8346353365.0,30343283286.0,10349122849.0,,,49038759500.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",8.346.353.365,30.343.283.286,10.349.122.849,-,-,49.038.759.500,8346353365.0,30343283286.0,10349122849.0,,,49038759500.0
Số dư tại 31/12/2022,NGUYÊN GIÁ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,2.415.395.686.940,1.674.066.688.907,136.437.496.085,41.494.857.709,11.033.724.411,4.278.428.454.052,2415395686940.0,1674066688907.0,136437496085.0,41494857709.0,11033724411.0,4278428454052.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,1.412.533.695.855,1.171.038.774.541,123.210.562.814,37.038.344.080,7.664.987.140,2.751.486.364.430,1412533695855.0,1171038774541.0,123210562814.0,37038344080.0,7664987140.0,2751486364430.0
Tăng trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tăng trong năm,Tăng trong năm,47.945.852.573,39.635.088.035,5.158.741.299,829.645.180,139.709.673,93.709.036.760,47945852573.0,39635088035.0,5158741299.0,829645180.0,139709673.0,93709036760.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,47.945.852.573,39.635.088.035,5.158.741.299,829.645.180,139.709.673,93.709.036.760,47945852573.0,39635088035.0,5158741299.0,829645180.0,139709673.0,93709036760.0
Giảm trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm trong năm,Giảm trong năm,7.879.334.566,30.343.283.286,9.363.988.438,-,-,47.586.606.290,7879334566.0,30343283286.0,9363988438.0,,,47586606290.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",7.879.334.566,30.343.283.286,9.363.988.438,-,-,47.586.606.290,7879334566.0,30343283286.0,9363988438.0,,,47586606290.0
Số dư tại 31/12/2022,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,1.452.600.213.862,1.180.330.579.290,119.005.315.675,37.867.989.260,7.804.696.813,2.797.608.794.900,1452600213862.0,1180330579290.0,119005315675.0,37867989260.0,7804696813.0,2797608794900.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2022,GIÁ TRỊ CÒN LẠI > Tại 01/01/2022,Tại 01/01/2022,1.010.315.524.008,532.614.375.034,23.538.681.727,4.121.170.364,3.368.737.271,1.573.958.488.404,1010315524008.0,532614375034.0,23538681727.0,4121170364.0,3368737271.0,1573958488404.0
Tại 31/12/2022,GIÁ TRỊ CÒN LẠI > Tại 31/12/2022,Tại 31/12/2022,962.795.473.078,493.736.109.617,17.432.180.410,3.626.868.449,3.229.027.598,1.480.819.659.152,962795473078.0,493736109617.0,17432180410.0,3626868449.0,3229027598.0,1480819659152.0
